ax,ay,az
-15876,524,4616
-15496,64,4328
-15852,192,5256
-15960,416,5128
-15948,588,4468
-15760,308,4416
-15716,-12,4776
-15912,204,4868
-15760,464,4708
-15704,360,4816
-15976,288,4948
-15888,544,4828
-15684,192,4448
-15828,72,4648
-16148,536,5448
-16156,436,5212
-15720,204,4596
-15616,208,4504
-15656,628,4584
-15624,472,4804
-15752,216,5088
-15920,508,5040
-15952,116,4620
-15684,-68,4600
-15756,200,4768
-15740,480,4992
-15940,724,4716
-15728,656,4348
-15548,-4,4844
-15620,-92,4988
-15924,604,4876
-15828,772,4812
-16040,316,4752
-16128,376,4788
-15464,136,4448
-15604,192,4664
-15924,488,5172
-15972,588,5104
-16052,448,4692
-16048,216,4584
-15744,80,4596
-15744,316,4780
-15708,604,5032
-15820,412,4908
-15836,320,4544
-15832,264,4464
-15840,204,4764
-15976,352,4836
-15940,520,4704
-15656,512,4684
-15796,328,5124
-15804,336,5052
-15756,520,4408
-15828,420,4320
-15912,212,5096
-15864,436,5192
-15988,520,4628
-16020,544,4384
-15772,208,4676
-15760,304,4848
-15828,444,4908
-15580,440,4736
-15780,348,4936
-15928,448,4772
-15920,240,4552
-15828,248,4560
-15844,352,4604
-15884,456,4812
-15928,612,4948
-15972,472,4792
-15716,196,4592
-15548,176,4516
-15888,588,4636
-15932,652,4664
-15768,112,4724
-15644,176,4836
-15788,280,4648
-15832,248,4568
-15952,636,4324
-15940,432,4488
-15744,-36,4768
-15784,60,4832
-15924,492,4676
-16000,628,4580
-15904,272,4404
-15844,176,4648
-15740,400,5188
-15848,552,5124
-16044,508,4476
-16096,364,4328
-15888,176,4448
-15832,164,4656
-15684,320,4944
-15664,468,5032
-15744,416,4424
-15796,336,4456
-16004,120,4520
-16020,220,4700
-15824,320,4664
-15668,368,4604
-15972,340,4652
-15908,208,4568
-15912,280,4640
-15872,276,4496
-15740,240,4700
-15660,116,4784
-15656,232,4612
-15776,404,4648
-15920,484,4208
-15832,268,4172
-15900,64,5016
-15920,136,5248
-16160,388,4656
-15992,436,4440
-15520,200,4460
-15564,200,4664
-15820,304,4636
-15884,236,4648
-15936,292,4612
-16020,388,4636
-15884,332,4560
-15804,244,4412
-15972,196,4908
-15952,136,4996
-15936,308,4540
-15832,400,4348
-15668,296,4824
-15692,264,4944
-15956,260,4404
-16012,208,4360
-15764,164,4764
-15744,152,4980
-15720,576,4740
-15792,336,4620
-15924,88,4540
-16088,24,4548
-15844,532,4496
-15624,304,4484
-15808,196,4960
-15848,280,4836
-15892,292,4192
-15744,88,4244
-15960,296,5060
-16208,456,5180
-15800,500,4388
-15528,276,4192
-15756,224,4580
-15792,388,4876
-15808,348,4872
-15776,304,4616
-16164,488,4368
-16320,456,4512
-15652,272,4920
