gx,gy,gz
-2424,4757,-132
-2424,4750,-151
-2426,4799,-152
-2417,4778,-141
-2437,4791,-180
-2421,4789,-160
-2382,4763,-162
-2401,4803,-164
-2433,4763,-168
-2443,4814,-170
-2429,4768,-142
-2431,4760,-164
-2437,4791,-168
-2405,4777,-158
-2413,4813,-145
-2413,4785,-131
-2413,4808,-144
-2436,4791,-130
-2424,4771,-187
-2455,4768,-137
-2433,4805,-148
-2431,4777,-145
-2396,4797,-165
-2430,4803,-162
-2424,4803,-167
-2443,4780,-153
-2401,4783,-163
-2428,4807,-167
-2407,4774,-148
-2451,4792,-174
-2434,4805,-156
-2427,4749,-178
-2430,4765,-155
-2424,4770,-170
-2431,4797,-135
-2429,4816,-150
-2474,4780,-140
-2453,4787,-147
-2407,4790,-176
-2426,4799,-151
-2413,4813,-170
-2385,4828,-200
-2411,4794,-196
-2440,4795,-172
-2399,4809,-183
-2437,4765,-176
-2421,4788,-130
-2433,4802,-183
-2424,4772,-143
-2412,4801,-154
-2448,4766,-186
-2435,4796,-136
-2427,4794,-147
-2409,4778,-152
-2419,4804,-160
-2422,4779,-159
-2407,4754,-199
-2429,4776,-166
-2423,4803,-149
-2399,4765,-155
-2440,4798,-161
-2424,4784,-180
-2431,4805,-149
-2444,4768,-190
-2410,4773,-168
-2429,4802,-156
-2424,4817,-136
-2425,4808,-185
-2416,4816,-136
-2428,4817,-145
-2454,4776,-142
-2450,4803,-151
-2386,4785,-144
-2414,4789,-138
-2416,4762,-161
-2429,4785,-168
-2411,4772,-173
-2424,4768,-170
-2393,4752,-158
-2424,4794,-166
-2420,4808,-173
-2402,4782,-200
-2381,4765,-172
-2436,4786,-189
-2450,4789,-126
-2380,4786,-148
-2422,4809,-169
-2445,4751,-168
-2400,4768,-178
-2411,4780,-143
-2415,4793,-173
-2442,4764,-157
-2416,4779,-183
-2427,4795,-163
-2435,4782,-148
-2452,4806,-183
-2418,4769,-168
-2379,4780,-158
-2441,4792,-173
-2407,4761,-159
-2404,4760,-169
-2417,4787,-143
-2466,4817,-135
-2445,4812,-145
-2432,4781,-145
-2444,4792,-167
-2421,4799,-188
-2456,4766,-151
-2415,4783,-160
-2416,4753,-131
-2421,4791,-193
-2401,4790,-154
-2407,4765,-156
-2418,4783,-187
-2451,4775,-149
-2404,4791,-134
-2422,4778,-163
-2396,4792,-157
-2464,4795,-147
-2413,4790,-159
-2409,4802,-153
-2453,4806,-165
-2433,4802,-139
-2452,4806,-152
-2423,4765,-147
-2394,4801,-191
-2405,4803,-168
-2458,4776,-178
-2432,4769,-169
-2445,4753,-188
-2414,4777,-164
-2461,4827,-176
-2424,4788,-160
-2421,4778,-171
-2457,4766,-147
-2422,4808,-174
-2442,4815,-179
-2415,4821,-144
-2466,4779,-168
-2416,4812,-147
-2399,4779,-142
-2434,4807,-159
-2455,4800,-169
-2426,4760,-162
-2423,4751,-143
-2416,4800,-191
-2438,4809,-178
-2425,4815,-176
-2412,4754,-135
-2411,4811,-149
-2420,4812,-124
-2412,4827,-166
-2429,4805,-153
-2446,4795,-155
-2436,4799,-158
-2428,4782,-170
-2483,4773,-174
-2417,4783,-132
-2427,4759,-165
-2473,4816,-160
-2404,4784,-154
-2448,4788,-135
-2409,4780,-201
-2437,4806,-187
-2404,4792,-180
-2435,4824,-152
-2452,4765,-140
-2440,4780,-151
-2396,4760,-134
-2433,4778,-163
-2460,4815,-133
-2449,4792,-164
-2445,4836,-163
-2447,4833,-176
-2451,4773,-167
-2454,4778,-189
-2400,4796,-170
-2407,4787,-153
-2436,4775,-189
-2430,4809,-168
-2411,4781,-162
-2442,4789,-183
-2452,4769,-139
-2417,4805,-174
-2428,4811,-125
-2404,4792,-185
-2433,4815,-143
-2438,4788,-162
-2435,4781,-131
-2407,4803,-134
-2436,4785,-162
-2438,4796,-113
-2437,4803,-159
-2431,4802,-182
-2450,4817,-171
-2396,4788,-151
-2433,4775,-143
-2414,4777,-158
-2431,4791,-169
-2419,4815,-161
-2454,4786,-141
-2427,4813,-166
-2429,4799,-155
-2432,4806,-145
-2448,4827,-131
-2428,4818,-142
-2425,4797,-187
-2431,4797,-148
-2439,4784,-182
-2451,4812,-169
-2435,4804,-194
-2456,4801,-161
-2405,4769,-177
-2423,4796,-163
-2418,4795,-158
-2437,4812,-163
-2422,4791,-154
-2445,4805,-153
-2431,4827,-150
-2429,4820,-148
-2421,4813,-126
-2397,4782,-131
-2442,4805,-170
-2418,4781,-167
-2433,4785,-174
-2435,4797,-152
-2431,4797,-180
-2419,4774,-154
-2400,4779,-173
-2421,4797,-165
-2427,4785,-184
-2437,4795,-165
-2433,4769,-158
-2425,4817,-169
-2426,4747,-153
-2439,4771,-166
-2420,4770,-167
-2448,4794,-176
-2421,4794,-159
-2462,4810,-160
-2447,4833,-183
-2398,4783,-121
-2446,4810,-166
-2429,4802,-155
-2420,4797,-162
-2433,4767,-158
-2424,4776,-190
-2442,4772,-148
-2427,4817,-142
-2417,4735,-154
-2433,4795,-124
-2436,4795,-166
-2424,4772,-157
-2426,4759,-149
-2443,4823,-164
-2473,4783,-139
-2413,4773,-190
-2391,4785,-135
-2427,4741,-186
-2445,4791,-159
-2429,4790,-168
-2425,4807,-140
-2422,4749,-183
-2445,4782,-167
-2412,4792,-152
-2418,4781,-173
-2426,4771,-174
-2396,4786,-156
-2422,4793,-154
-2429,4818,-170
-2420,4778,-141
-2451,4802,-140
-2402,4786,-157
-2414,4781,-149
-2431,4824,-168
-2426,4790,-145
-2401,4804,-165
-2423,4781,-173
-2396,4774,-196
-2430,4791,-161
-2404,4778,-129
-2432,4818,-180
-2415,4807,-163
-2441,4794,-166
-2445,4824,-173
-2432,4803,-170
-2401,4808,-185
-2449,4816,-177
-2398,4759,-161
-2416,4784,-166
-2409,4728,-123
