gx,gy,gz
-2388,4748,-153
-2473,4757,-148
-2434,4792,-167
-2455,4762,-148
-2454,4793,-177
-2447,4785,-177
-2437,4808,-164
-2411,4759,-158
-2417,4797,-131
-2429,4765,-175
-2411,4776,-164
-2427,4785,-191
-2452,4811,-148
-2443,4771,-187
-2418,4782,-190
-2417,4762,-159
-2430,4790,-180
-2444,4785,-162
-2433,4773,-166
-2447,4820,-149
-2400,4742,-157
-2441,4830,-167
-2469,4800,-166
-2445,4815,-157
-2424,4785,-107
-2470,4787,-155
-2433,4801,-142
-2432,4787,-165
-2409,4785,-167
-2470,4805,-198
-2437,4823,-148
-2417,4785,-203
-2397,4776,-173
-2435,4788,-184
-2425,4775,-173
-2429,4806,-159
-2424,4769,-176
-2402,4795,-155
-2395,4818,-146
-2454,4794,-144
-2436,4795,-178
-2427,4764,-151
-2435,4790,-171
-2442,4785,-182
-2400,4763,-143
-2432,4786,-178
-2431,4752,-153
-2453,4794,-170
-2398,4773,-175
-2427,4805,-189
-2414,4790,-182
-2418,4812,-149
-2435,4783,-170
-2417,4811,-140
-2381,4755,-157
-2442,4819,-131
-2427,4781,-143
-2451,4811,-173
-2438,4793,-157
-2419,4804,-145
-2429,4782,-134
-2451,4809,-185
-2446,4798,-157
-2418,4768,-202
-2430,4801,-160
-2441,4801,-207
-2424,4795,-193
-2436,4770,-161
-2419,4763,-159
-2441,4816,-174
-2443,4816,-152
-2442,4831,-176
-2414,4823,-138
-2460,4792,-157
-2435,4746,-146
-2433,4741,-160
-2455,4806,-135
-2428,4809,-191
-2434,4805,-149
-2443,4811,-163
-2429,4807,-169
-2402,4792,-163
-2447,4780,-175
-2429,4799,-179
-2436,4815,-165
-2450,4782,-148
-2444,4763,-174
-2426,4798,-138
-2415,4796,-171
-2423,4771,-151
-2445,4786,-174
-2450,4795,-147
-2417,4796,-158
-2421,4782,-179
-2392,4777,-163
-2429,4773,-181
-2453,4806,-145
-2455,4811,-179
-2474,4831,-151
-2438,4805,-177
-2416,4766,-163
-2426,4817,-175
-2423,4796,-160
-2458,4779,-130
-2415,4809,-211
-2456,4781,-146
-2461,4836,-161
-2455,4815,-130
-2424,4815,-180
-2441,4827,-130
-2442,4830,-157
-2374,4747,-191
