ax,ay,az
15772,380,-4456
15692,340,-4564
15656,300,-4360
15644,364,-4508
15676,340,-4328
15628,392,-4404
15732,324,-4312
15720,460,-4300
15748,280,-4524
15688,304,-4348
15700,364,-4372
15712,336,-4416
15672,412,-4452
15736,264,-4320
15696,356,-4368
15656,368,-4292
15720,388,-4436
15676,368,-4400
15660,400,-4432
15680,412,-4480
15736,276,-4416
15624,452,-4452
15648,352,-4496
15708,352,-4456
15736,300,-4428
15740,372,-4512
15688,396,-4480
15672,384,-4472
15656,400,-4428
15700,304,-4312
15664,352,-4504
15640,336,-4416
15740,364,-4504
15704,348,-4240
15672,344,-4340
15688,404,-4380
15732,344,-4460
15688,368,-4368
15660,324,-4412
15668,372,-4364
15624,316,-4360
15708,352,-4480
15744,332,-4268
15708,340,-4412
15752,392,-4376
15728,308,-4304
15704,432,-4344
15732,364,-4408
15672,364,-4564
15652,376,-4452
15684,316,-4392
15692,376,-4484
15636,352,-4364
15716,332,-4404
15688,336,-4508
15772,344,-4480
15704,388,-4276
15696,292,-4404
15712,364,-4416
15676,364,-4416
15684,416,-4416
15636,424,-4396
15696,380,-4356
15660,392,-4476
15640,376,-4440
15684,328,-4380
15608,352,-4364
15672,340,-4480
15624,296,-4256
15692,368,-4392
15696,328,-4404
15704,364,-4508
15664,288,-4316
15688,404,-4368
15640,304,-4408
15712,300,-4360
15672,328,-4352
15692,372,-4312
15684,332,-4348
15660,332,-4292
15648,364,-4492
15644,376,-4328
15672,380,-4452
15684,340,-4456
15700,348,-4352
15680,376,-4364
15692,344,-4360
15712,280,-4384
15716,360,-4508
15740,320,-4428
15728,292,-4228
15676,340,-4460
15656,352,-4524
15676,380,-4436
15672,340,-4380
15756,248,-4416
15684,376,-4500
15704,360,-4388
15752,380,-4456
15644,308,-4476
15676,388,-4268
15692,348,-4388
15700,368,-4516
15696,344,-4440
15700,376,-4428
15664,352,-4368
15668,340,-4308
15684,384,-4440
15736,352,-4424
15732,400,-4380
15668,396,-4328
15708,296,-4360
15688,336,-4444
15632,412,-4392
15724,340,-4352
15664,304,-4396
15756,332,-4480
15700,324,-4472
15696,304,-4432
15652,288,-4348
15668,336,-4448
15644,368,-4444
15624,320,-4420
15664,436,-4476
15788,356,-4500
15644,332,-4408
15732,416,-4332
15664,376,-4448
15664,364,-4480
15716,308,-4392
15684,380,-4440
15684,372,-4436
15712,384,-4456
15704,324,-4348
15640,272,-4420
15644,368,-4328
15712,276,-4380
15752,448,-4412
15676,284,-4448
15656,368,-4444
15684,328,-4332
15652,336,-4404
15708,384,-4388
15716,404,-4364
15700,376,-4304
15680,408,-4356
