ax,ay,az
900,16136,-3112
920,16072,-2892
724,16152,-2856
828,16404,-2992
804,16100,-3012
764,16120,-2980
772,16136,-2964
760,16216,-2880
836,16060,-3124
876,16160,-3104
724,16152,-2832
772,16144,-2916
972,16056,-3228
756,16148,-3068
724,16120,-2996
768,16068,-2856
780,16140,-3016
796,16084,-3164
736,16176,-2788
728,16096,-2924
684,16208,-3012
648,16184,-3120
632,16260,-3052
648,16220,-2912
880,16108,-3136
792,16120,-3024
716,16116,-2876
712,16164,-2960
776,16068,-3052
752,16176,-2960
796,16060,-3060
784,16044,-2996
40,16548,-2756
552,16100,-3064
672,16176,-3052
676,16084,-3052
748,16116,-3164
688,16180,-3004
548,16128,-3012
652,16116,-3056
676,16124,-3012
592,16224,-3020
660,16068,-2868
744,16128,-2964
672,16108,-2880
672,16148,-3068
556,16132,-3204
624,16212,-3104
556,16144,-3072
660,16168,-3036
688,16096,-2964
644,16080,-2984
616,16116,-3092
592,16088,-2992
568,16152,-3164
588,16164,-3252
648,16136,-3124
572,16188,-3044
544,16168,-3228
556,16240,-3120
656,16092,-3092
596,16180,-3052
612,16068,-3072
704,16060,-3216
608,16028,-3160
668,16084,-2936
612,16104,-3128
600,16092,-3160
476,16196,-3212
540,16176,-3120
616,16156,-3068
596,16172,-3024
636,16156,-3040
616,16116,-3100
648,16092,-3052
684,16068,-3220
644,16088,-3180
576,16144,-2964
596,16124,-3176
588,16108,-3080
660,16092,-3008
544,16148,-3100
540,16220,-3300
608,16060,-3100
644,16180,-3108
684,16036,-3084
604,16080,-3048
848,16144,-3276
684,16088,-3240
620,16064,-3028
632,16080,-2992
544,16232,-3180
508,16216,-3268
616,16172,-3200
700,16012,-3160
720,16132,-3192
612,16060,-3116
620,16160,-3000
520,16132,-3152
512,16212,-3312
564,16176,-3252
648,15924,-3032
696,16016,-2988
640,16132,-3184
576,16140,-3088
520,16080,-3056
580,16164,-3108
520,16064,-3000
636,16056,-3196
672,16072,-3192
660,16048,-3148
584,16188,-3016
536,16120,-3084
536,16156,-3036
592,16028,-3128
624,16260,-3008
584,16204,-3032
612,16140,-3116
540,16108,-3164
532,16160,-3032
524,16128,-3144
624,16044,-3188
636,16116,-3008
544,16172,-3004
496,16136,-3068
588,16088,-3204
568,16068,-3136
552,16216,-3140
520,16100,-3000
708,16328,-3012
632,15960,-3092
552,16064,-3032
544,16168,-2820
576,16096,-3032
436,16068,-3224
492,16136,-2844
488,16256,-3228
608,16300,-3024
504,16172,-2952
536,16064,-3008
528,16160,-2944
704,15952,-3216
496,16124,-3244
456,16096,-3136
596,16056,-3028
492,16048,-2936
720,16052,-2812
560,16092,-2880
600,15936,-3096
500,16028,-3048
588,16224,-2948
540,16248,-2836
548,16236,-3112
696,16028,-2860
600,16124,-3176
632,16084,-2944
384,16136,-2992
464,16060,-3104
740,16256,-2780
612,16080,-3060
664,16028,-3060
904,16268,-2684
956,16076,-2732
532,16244,-2984
664,16252,-2860
668,16096,-2728
544,16180,-3032
