ax,ay,az
452,-16372,544
384,-16372,528
380,-16380,476
464,-16384,632
396,-16356,568
456,-16364,460
480,-16384,560
412,-16388,540
416,-16404,572
452,-16448,532
476,-16368,572
516,-16396,576
384,-16448,612
452,-16400,508
472,-16380,636
460,-16396,592
400,-16376,544
348,-16364,536
396,-16324,616
448,-16448,588
424,-16320,584
416,-16304,588
368,-16368,544
420,-16456,528
396,-16356,496
436,-16352,552
360,-16388,552
440,-16300,524
464,-16284,568
444,-16344,488
448,-16352,540
420,-16328,648
436,-16356,576
384,-16380,516
456,-16336,628
344,-16444,624
404,-16384,548
440,-16412,600
364,-16372,556
424,-16468,476
460,-16400,608
508,-16348,512
412,-16392,500
424,-16396,400
376,-16384,432
408,-16328,608
376,-16380,584
424,-16340,568
468,-16300,508
396,-16404,420
376,-16368,572
392,-16368,544
432,-16364,668
428,-16412,504
400,-16376,568
508,-16460,728
444,-16360,568
484,-16364,532
452,-16412,672
496,-16372,548
472,-16424,592
496,-16380,652
440,-16372,484
468,-16392,580
468,-16408,576
440,-16388,472
412,-16328,588
380,-16424,492
472,-16272,580
368,-16416,584
412,-16304,592
436,-16380,560
420,-16324,520
496,-16372,500
372,-16348,460
432,-16332,516
360,-16388,508
512,-16400,532
484,-16408,524
400,-16332,568
552,-16336,572
452,-16372,532
480,-16424,492
448,-16508,500
460,-16364,584
448,-16352,524
412,-16352,580
528,-16436,640
420,-16424,596
452,-16448,536
412,-16436,476
460,-16300,560
448,-16336,592
424,-16360,576
344,-16392,472
472,-16368,592
428,-16424,504
416,-16404,656
452,-16336,576
416,-16316,588
436,-16300,592
388,-16360,600
420,-16280,632
436,-16384,584
404,-16400,456
528,-16384,652
436,-16408,536
484,-16336,492
