ax,ay,az
4308,1504,15560
4264,1428,15560
4236,1436,15556
4228,1504,15576
4240,1456,15644
4280,1436,15588
4220,1440,15488
4312,1496,15468
4216,1456,15676
4268,1480,15572
4252,1460,15528
4172,1464,15508
4160,1516,15580
4228,1420,15592
4292,1480,15604
4256,1448,15524
4224,1500,15760
4256,1464,15612
4332,1500,15512
4252,1412,15600
4212,1448,15528
4240,1444,15600
4220,1444,15448
4252,1468,15588
4288,1376,15572
4284,1500,15624
4240,1480,15632
4240,1472,15648
4272,1452,15684
4236,1388,15612
4244,1464,15596
4316,1392,15588
4284,1476,15524
4276,1456,15552
4244,1500,15588
4248,1400,15492
4216,1440,15636
4312,1472,15564
4252,1456,15624
4264,1512,15576
4312,1420,15636
4320,1468,15696
4224,1456,15516
4292,1476,15540
4300,1496,15680
4268,1492,15636
4312,1472,15512
4268,1424,15516
4248,1484,15588
4240,1476,15640
4280,1420,15588
4212,1440,15560
4260,1480,15632
4276,1456,15604
4256,1484,15600
4260,1396,15644
4256,1448,15508
4288,1404,15544
4264,1512,15560
4260,1500,15644
4240,1468,15668
4284,1476,15616
4236,1428,15688
4188,1472,15496
4284,1464,15576
4352,1460,16056
4276,1368,15876
4228,1416,15500
4312,1476,15508
4268,1460,15560
4308,1492,15620
4236,1424,15316
4316,1524,15656
4272,1432,15532
4244,1428,15596
4256,1456,15600
4236,1520,15544
4224,1432,15676
4296,1484,15588
4260,1452,15564
4320,1500,15568
4272,1452,15644
4256,1468,15560
4256,1452,15556
4300,1512,15536
4368,1464,15560
4228,1456,15632
4248,1476,15548
4252,1456,15508
4232,1464,15572
4228,1436,15520
4272,1440,15624
4252,1452,15616
4256,1476,15704
4264,1416,15688
4224,1524,15504
4224,1492,15612
4276,1448,15540
4240,1472,15564
4232,1476,15600
4256,1504,15684
4232,1384,15472
4268,1436,15640
4264,1464,15620
4252,1432,15568
4252,1464,15620
4240,1460,15596
4272,1504,15628
4236,1432,15592
4260,1524,15584
4260,1484,15536
4288,1448,15664
4276,1492,15596
4280,1460,15604
4260,1512,15536
4232,1468,15516
4292,1488,15596
4268,1404,15560
4296,1460,15664
4284,1456,15672
4268,1484,15484
4280,1404,15624
4280,1420,15496
4248,1508,15664
4272,1488,15576
4268,1424,15560
4192,1416,15432
4256,1452,15616
4264,1440,15512
4248,1480,15616
4288,1520,15636
4264,1404,15552
4248,1444,15588
4260,1428,15548
4204,1448,15500
4196,1464,15520
4264,1472,15596
4248,1504,15428
4228,1456,15508
4256,1436,15592
4224,1464,15596
4272,1488,15564
4300,1508,15584
4276,1500,15664
4320,1512,15604
4236,1488,15612
