acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
-8399,14422,2630,-545,2086,-1634
-8351,14454,2554,-567,1978,-1625
-7739,14954,2658,-826,1615,-1408
-7487,13646,2566,-1765,1290,-257
-7547,13634,2622,-1806,1299,-296
-7515,13518,2630,-1838,1304,-310
-7567,13390,2654,-1836,1327,-381
-7427,13054,2558,-1838,1300,-513
-7511,12498,2642,-1752,1386,-1222
-7147,12602,2998,-1619,1669,-2373
-6923,12682,3142,-1825,1694,-2587
-6423,13318,2942,-2253,1897,-2669
-6399,13842,2434,-2501,2709,-2893
-6011,14770,2454,-1826,4163,-3737
-5655,15226,2386,-1679,4561,-3977
-5143,16262,2810,-1380,4752,-3778
-4927,16578,2970,-1226,4166,-3012
-5547,16470,2970,-929,2722,-1712
-5823,16306,2782,-669,2374,-1496
-6291,15098,2482,142,1250,-998
-6539,14906,2246,449,1114,-947
-7119,14630,2326,1478,1574,-871
-7327,14646,2310,1670,1861,-899
-7919,14622,2790,2031,2948,-850
-8111,14510,2870,2204,3188,-776
-8699,14262,3194,2639,4138,-658
-9003,14234,3222,2780,4508,-760
-9519,14138,3654,3303,5405,-1150
-9731,14042,3962,3396,5574,-1292
-10659,13650,4242,3591,6003,-2191
-10887,13666,4566,3613,6171,-2628
-10791,14494,5258,3691,6200,-4016
-10979,14730,5430,3602,6124,-4352
-11307,16534,6066,3507,5377,-5797
-11375,17938,6126,3673,4892,-6238
-11951,21354,6390,4234,3915,-7399
-12323,22410,6242,4104,3820,-7800
-13231,23374,5566,3397,4384,-9404
-13531,23470,5550,3236,4627,-10171
-14091,26598,5666,3518,5058,-12912
-14275,27698,5798,3905,4984,-13621
-14163,24818,5830,4886,3876,-13361
-14347,21774,5702,4648,2988,-12441
-17147,15998,4290,3282,527,-9784
-17699,15994,3922,2820,212,-9229
-17899,17386,3270,1772,432,-8184
-17583,18022,1882,1473,1761,-6921
-17695,16970,846,2697,4644,-5710
-17759,16538,1022,2838,5679,-5502
-17931,15106,762,2485,7981,-5209
-17647,14530,1210,1547,10173,-4990
-17643,12658,1750,133,12066,-4392
-17519,12102,1674,-197,12543,-4295
-17011,11334,1154,-437,13674,-4231
-16507,11130,1250,-438,15248,-4163
-15975,11482,2722,-410,15716,-4043
-15951,11586,3486,-333,15245,-4053
-15347,12178,4302,-256,13256,-3959
-14803,12802,4710,-554,10585,-3764
-13375,14850,4186,-1513,6038,-3291
-13219,15850,3838,-1678,4917,-3136
-13111,19018,3574,-1376,2005,-3702
-12867,19454,3410,-1257,1269,-4021
-12211,19750,2862,-1508,80,-5199
-12091,19902,2694,-1759,151,-5499
-11867,21198,2670,-2590,842,-6351
-11791,22470,2946,-2639,1007,-6450
-10543,22674,4606,-311,-2174,-4715
-10491,22842,5258,546,-4019,-3620
-11611,25154,7522,1734,-10237,1367
-11971,25870,8094,1703,-12301,3301
-13003,25458,7578,1275,-16259,7571
-13947,24186,6150,353,-18091,11192
-14467,22166,3474,-1129,-16215,15517
-14551,21670,3050,-1445,-14777,16695
-14635,20378,2706,-1980,-11457,18819
-14823,18782,2958,-2460,-8323,20436
-15463,15354,3810,-3300,-4448,21716
-15639,14254,4366,-3564,-3769,21691
-15979,12054,5346,-3634,-3392,21123
-16123,11718,5622,-3484,-3725,20751
-16799,11666,5746,-2024,-5632,18780
-17099,11878,5982,-1238,-6294,17712
-17327,14730,5518,1485,-7290,14012
-17507,15974,5734,2226,-7167,12736
-18431,18982,6374,3971,-6773,8328
-18795,19870,6562,4131,-6637,6712
-18795,20770,5702,3210,-4488,1253
-18535,21170,5578,2744,-3657,-387
-18239,21526,5386,1632,-2378,-3274
-18439,21422,5166,729,-1594,-5554
-18483,19850,4378,514,-796,-9145
-18159,19466,4062,636,-539,-10268
-16871,18406,3426,871,-595,-11512
-16155,17326,2722,951,-1265,-11446
-16871,16598,1322,1308,-1178,-11523
-17007,16710,1150,1267,-531,-11906
-16555,16710,574,687,1080,-12660
-15691,16322,-258,86,3283,-13322
-14635,14798,-574,-52,7893,-14466
-14291,14306,-438,-101,9424,-14863
-13667,13614,1066,273,12421,-15154
-13551,13474,1366,523,12766,-14893
-13131,12326,3094,821,11644,-12971
-12771,12330,3358,767,10904,-12187
-13175,11962,3726,480,8583,-10339
-12967,12046,4066,334,7881,-9921
-12135,13474,4290,-390,4644,-8936
-11679,14450,4046,-521,3333,-8768
-11111,18766,2746,-663,295,-8449
-11047,19982,2458,-567,-106,-8402
-10871,22190,2122,-777,-99,-8147
-10659,22230,1878,-1218,189,-7894
-9935,21498,1710,-2981,622,-5642
-9811,21426,1874,-3686,739,-4454
-10347,21798,2094,-5118,1007,376
-10683,21266,2366,-4917,606,1904
-11967,23834,4158,-3557,-1682,5398
-12119,24622,4458,-2794,-2685,6333
-13351,26162,5386,527,-7075,10504
-13391,26010,5450,583,-7348,10738
-13491,25714,5250,667,-7659,11115
-13795,23306,4174,585,-7984,13664
-14031,22538,3906,200,-7357,14373
-14611,20282,3998,-937,-4905,16363
-14707,19282,4054,-1165,-4433,17048
-14743,15102,4414,-1760,-4189,19062
-15107,13646,4658,-1978,-4349,19498
-15627,10958,5210,-2646,-5559,20057
-15795,10502,5282,-2592,-6178,19928
-16267,11046,5350,-1760,-8316,18890
-16427,11406,5310,-1316,-8828,18332
-16791,11774,5206,330,-9824,15676
-16875,12126,5178,1016,-9908,14535
-17435,14858,4590,3175,-8889,10471
-17815,16094,4610,3705,-8303,8908
-18675,21434,4186,4831,-4141,3264
-18739,22406,4218,4966,-2368,1376
-18531,22226,5070,3959,2595,-4651
-18311,21922,5414,3443,3424,-6303
-17767,20542,5590,2076,3489,-9849
-17907,19698,5454,1610,3123,-10622
-17063,18194,4278,493,1584,-12740
-16467,18186,3894,461,891,-12883
-16399,18478,1938,1580,-396,-13019
-16399,18830,2258,1995,-418,-13170
-16355,17986,2306,1713,155,-13684
-16167,17442,1830,1444,586,-13987
-15279,16122,810,218,4344,-15060
-14947,15590,818,-444,5919,-15472
-14103,14526,750,-1285,8902,-16357
-13591,14194,578,-1014,9485,-16066
-12591,12634,526,441,10547,-13632
-12859,12042,978,586,11034,-12742
-13375,11430,1906,-530,12965,-10048
-13579,11550,2486,-925,13126,-9333
-13027,13074,3974,-1789,11495,-7540
-12695,13878,4106,-2017,10376,-6950
-12619,16386,3494,-2389,7041,-6258
-12607,17354,3130,-2048,6002,-6406
-12287,19914,3082,-1177,3644,-7598
-11947,20642,2950,-1054,3074,-8060
-11327,22642,3134,-1028,1038,-9013
-10959,22842,3274,-1351,103,-8916
-10219,21994,2574,-3221,-2337,-6786
-10059,22082,1966,-3691,-2686,-5569
-10403,23286,1714,-3904,-3081,-804
-10403,23070,2262,-3471,-3625,806
-11011,23594,3810,-2036,-6679,5472
-11387,24106,4022,-1570,-7651,6860
-12639,24298,4350,29,-10155,10784
-12955,24038,4474,372,-10640,11869
-13943,22854,3758,843,-10484,14733
-13979,22482,3470,1018,-9958,15511
-14939,20322,3690,396,-7062,17263
-14623,19450,3518,123,-6070,17738
-14999,15862,3966,-1078,-3276,19036
-15111,14642,4186,-1544,-2624,19373
-15439,11410,5006,-2892,-1955,19973
-15503,10882,5286,-3183,-2114,19947
-16119,10254,6026,-3358,-3732,18544
-16179,10486,6014,-3006,-4608,17722
-15983,11838,5878,-322,-7291,14156
-16039,12190,5710,516,-7649,13056
-16159,15150,5458,3762,-8067,8569
-16387,16518,5286,4714,-7776,7157
-17407,20254,5422,6627,-5963,2757
-17675,21018,5518,6658,-5128,1304
-17519,22762,5346,4872,-2055,-2741
-17679,22694,5206,3983,-1190,-3763
-18027,23242,4926,1488,834,-7088
-18211,22854,4966,1018,1376,-7865
-18311,20546,4642,-236,1975,-10771
-17875,19770,4410,-422,1716,-11332
-16715,17354,3262,-455,-137,-11081
-16923,17014,2582,-224,-471,-10878
-17827,16854,974,1350,397,-11041
-17671,16646,966,1405,1506,-11290
-17231,15426,466,407,5638,-12524
-16619,15334,54,296,7035,-12985
-16007,14134,594,-235,9768,-14411
-15391,13454,1290,-1120,12072,-15733
-14963,13394,2382,-1411,13750,-16649
-14687,13274,2554,-1195,13694,-16526
-13059,12966,3354,-126,12080,-15266
-13355,12214,3978,676,10165,-13719
-13571,13058,4850,-60,7598,-11913
-13503,13650,4694,-428,6690,-11319
-13051,14926,3834,-1102,4595,-10100
-12579,16730,2774,-1547,3464,-9389
-12163,20674,1606,-1504,3903,-8870
-12147,21838,1526,-1414,4484,-8888
-11823,23834,1638,-1685,6572,-8697
-11479,23770,2070,-2161,6847,-8305
-10903,22406,2490,-4919,6200,-5496
-10915,22650,2210,-5848,6094,-4125
-10975,20294,2646,-6365,4159,378
-11047,21246,3322,-6117,2934,1435
-11323,24194,4638,-3216,-3048,5017
-11527,25086,5198,-2051,-5072,5996
-12815,25482,5466,628,-10416,9636
-13131,24802,5246,1129,-11583,10718
-13579,23498,4302,1486,-12566,13019
-14023,22802,3210,1213,-11693,15113
-14603,22018,2178,817,-7949,17986
-14571,21090,2270,649,-6584,18703
-14723,18246,2434,-173,-3466,20208
-14947,15238,2850,-1408,-762,21307
-15391,12230,4598,-3158,982,22053
-15591,11674,5042,-3517,721,22057
-15915,10610,6026,-3698,-1064,21443
-16099,10726,6634,-3260,-3823,20197
-16419,11654,6766,-1050,-8425,17255
-16419,12050,6378,83,-9647,16053
-16371,14622,5274,3968,-11581,12338
-16667,15782,4862,5037,-11376,11197
-17895,18954,4474,7268,-8965,7593
