acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
-91,5022,4499,615,-470,-439
33,5046,4503,599,-424,-368
149,4986,4603,546,-600,-245
137,5014,4639,607,-743,-137
-79,5214,4147,521,-201,449
-67,5130,4131,511,-123,513
-163,5130,4167,460,-63,505
-191,5254,4571,219,161,683
-239,5214,4695,174,-27,838
-439,5158,4943,26,-697,1050
-511,5178,4839,-60,-790,1073
-375,4922,4639,-92,-859,846
-223,4826,4559,-28,-872,693
-255,4414,4295,502,-894,86
-99,4234,4099,668,-723,-76
145,3898,4239,1262,491,-616
133,3754,4527,1324,817,-733
305,3718,5067,1255,812,-817
389,3686,5139,1328,669,-763
657,3494,4723,1594,-255,-653
793,3454,4443,1642,-338,-604
941,3438,3879,1580,-262,-259
957,3374,3811,1606,-115,-181
801,3394,3367,1923,327,-98
573,3334,3475,2119,524,-108
241,2790,3827,2395,1041,133
157,2546,3895,2432,1186,149
265,2294,3987,2337,1468,-270
377,2398,4095,2212,1379,-365
693,3234,4107,1459,689,-583
709,3630,4203,1220,414,-536
1009,3970,3931,446,-116,-246
1029,4034,3795,335,-111,-178
645,4042,3975,343,-431,336
405,3934,4035,394,-328,477
-459,3410,3723,306,806,587
-675,3258,3751,211,1348,465
-1283,3454,4367,-175,2838,-165
-1419,3606,4583,-276,2977,-422
-1667,4126,4959,-537,2966,-1292
-1799,4346,4855,-616,2927,-1655
-1903,5098,4927,-1117,3015,-2519
-1999,5266,4999,-1327,3058,-2834
-2227,5614,5371,-2465,3483,-3839
-2275,5982,5379,-2819,3557,-4200
-2567,6742,5235,-3542,3777,-5483
-2903,6846,4923,-3579,3830,-6079
-3103,8886,3935,-2863,4880,-9153
-3103,9634,3859,-2377,5397,-10128
-4207,10162,6431,-576,4774,-11488
-4615,10018,6951,-154,3884,-11350
-5171,9014,6851,386,1224,-10753
-5227,8618,6431,435,685,-10861
-5135,8238,5579,651,63,-12071
-5139,8526,5563,576,-9,-12577
-4419,11006,5591,313,-1132,-13925
-4099,11898,5635,249,-1572,-14128
-2815,14134,7371,-1160,-3537,-13581
-2431,14726,7987,-1742,-4804,-12966
-2791,14170,8111,-2878,-10341,-10589
-2903,13734,7347,-3043,-11656,-10039
-3471,11946,4975,-3734,-12564,-8982
-3347,11306,4899,-3935,-11863,-8910
-2291,10814,6275,-3997,-11370,-8262
-2023,10958,6275,-3438,-11658,-7865
-1583,10794,4511,-2233,-11935,-6886
-1075,10570,3807,-2092,-10983,-6694
-163,10034,2771,-1949,-5912,-6736
-67,10350,3107,-1749,-4520,-6625
45,10754,4735,-191,-3016,-5305
-3,10886,4671,505,-3005,-4722
-567,10350,4015,1887,-1492,-3025
-747,9962,3967,2121,-502,-2577
-831,9782,4547,2759,2321,-1502
-855,10326,4939,3116,2565,-1055
-1323,12214,4951,5031,2171,920
-1511,12518,4447,5420,2294,1625
-2355,12042,3067,5767,4466,2198
-2223,12122,2675,5705,5431,1473
-67,15942,1659,5602,7723,-2237
193,17766,1491,5625,7884,-2436
-3207,17566,2123,5925,8752,993
-4263,16066,2275,5591,9327,2533
-5819,11214,2091,4871,12679,5249
-6263,9906,1863,4916,13527,5203
-4391,10998,1799,4911,14228,3874
-3923,12474,1991,4990,14339,3831
-3811,15874,3531,4197,13867,5435
-3855,16102,3843,3215,13813,6232
-3723,15454,3883,69,12837,8283
-3759,15386,4047,-808,12288,8481
-3791,14810,4695,-1516,8209,9119
-3947,14662,5091,-1412,6797,9502
-5059,13694,4343,-1771,4505,10782
-5175,13150,3839,-2140,4326,10843
-5515,11946,3295,-3059,5459,9770
-5747,11726,3587,-3304,5757,9211
-5915,11378,4819,-3408,4824,8245
-6203,11138,4931,-3177,4417,7915
-6675,10646,5155,-2700,2978,7143
-6839,10330,5167,-2824,3010,6806
-7015,9358,5251,-3310,3182,5226
-7151,9162,5419,-3370,3139,4610
-7295,9318,5639,-3197,1926,2444
-7291,9446,5447,-2932,1560,1666
-7431,10210,4875,-2236,1321,-462
-7619,10394,4775,-2247,1707,-1027
-8027,10342,5507,-2377,2516,-3811
-7959,10782,5663,-2355,2255,-5411
-6299,13610,6191,-781,-1523,-10659
-5655,14122,6783,114,-3588,-11478
-6143,13882,7715,2349,-7432,-10702
-6915,13830,7955,2269,-7530,-9831
-8407,11994,7603,-394,-6011,-7829
-8311,11386,7427,-1094,-5528,-7796
-7415,11594,6915,-1443,-5542,-9100
-7087,12290,6843,-1222,-5708,-9543
-7247,13850,6771,41,-6156,-10582
-7251,14202,6707,200,-6020,-10838
-6735,14630,7771,-943,-6131,-11254
-6523,14366,7871,-1134,-6735,-11315
-6307,13318,7615,-928,-9126,-11278
-6319,13170,7215,-491,-9785,-11157
-5587,13042,5019,606,-9633,-10745
-5179,13026,4531,966,-8645,-10753
-4667,13618,6019,212,-4589,-10666
-4579,13826,6963,-560,-3930,-10312
-4043,13754,8111,-1554,-5950,-8465
-3903,12974,5511,-334,-8084,-6309
-3907,12790,5211,-159,-7964,-6246
-3939,12762,5063,-92,-7817,-6118
-3711,12674,4427,544,-4732,-5805
