acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
-8225,5195,-4712,-4317,975,-9302
-8337,5291,-4504,-4539,755,-9475
-8705,5071,-4628,-5730,-729,-10803
-4481,9911,-10000,-5295,8120,-9897
-4565,9827,-9756,-5308,8637,-9872
-4589,9791,-9592,-5270,9028,-9809
-4461,9815,-9148,-5209,9398,-9780
-4541,10447,-6576,-3864,9880,-9473
-5153,10431,-3916,-2697,6920,-9295
-7121,9383,-2712,-1819,1207,-9564
-8157,8815,-2532,-1793,-166,-9949
-9673,8035,-2876,-2084,-2146,-11311
-11053,7951,-3348,-2933,-2383,-13319
-11969,9531,-3332,-4791,-302,-16703
-12265,10027,-2808,-5705,440,-17641
-13721,11163,-716,-8116,1062,-20780
-14273,12231,-56,-8907,447,-22168
-14981,21519,1992,-13267,-4297,-27873
-14693,25151,1472,-15256,-5630,-29536
-13097,31891,-1940,-19106,-5474,-30625
-13257,31739,-2472,-19219,-4147,-29620
-13957,30239,-3748,-17714,-346,-26102
-13913,26675,-4308,-14539,3875,-21193
-14377,20135,-1188,-9542,8888,-13263
-15173,18843,320,-8144,8940,-11274
-16545,17751,2576,-4690,4671,-7238
-16325,17635,2516,-3843,2894,-6430
-14705,17535,1836,-2264,-1104,-4753
-14285,17567,1444,-2143,-1996,-4359
-13529,17687,-216,-1820,-3384,-2909
-13613,17515,-916,-1526,-3477,-2375
-14569,16619,-996,-1367,-2375,-1455
-14789,16323,-964,-1664,-1780,-1315
-16185,16087,-1024,-2619,-388,-1345
-16237,15575,-1560,-2723,266,-1408
-16261,15299,-2148,-3117,2629,-1462
-16337,15395,-2044,-3869,4802,-1384
-16809,14703,-1040,-4811,6275,-1432
-17033,14279,-908,-4754,5904,-1488
-16869,13655,-500,-4496,4833,-1465
-16741,13287,-188,-4380,3999,-1318
-17021,13163,-604,-4193,2289,-868
-17161,12939,-1104,-4035,1879,-698
-17293,11995,-1360,-3295,1153,107
-17313,11675,-1228,-3066,835,372
-17529,11795,-280,-2892,-1247,570
-17449,12683,132,-3142,-2437,343
-17161,15907,-864,-4560,-6637,-1036
-17157,16843,-1568,-4914,-7599,-1396
-16953,19667,-3760,-4946,-7748,-1746
-17065,21023,-4312,-4706,-7087,-1612
-17017,24023,-6660,-2199,-2550,-27
-16901,24807,-6784,-897,-124,851
-17549,28555,-5796,1470,5197,2832
-18493,30391,-3680,3466,8044,4955
-18605,27767,-1476,7406,5612,7444
-17825,25243,-1572,8982,4663,8484
-17081,22835,264,11908,3670,10541
-17421,22471,3372,13421,559,11822
-17309,22063,4332,14139,-8900,11420
-17201,22775,3016,14903,-12168,11084
-16337,22219,776,16571,-14760,10795
-15925,19531,508,17405,-13495,10508
-15877,18647,476,17377,-12759,10290
-15665,16827,744,17194,-10966,9834
-15949,15463,1072,16630,-9613,9122
-15701,14023,1632,15929,-9669,7534
-15461,13595,1652,15724,-9716,7032
-14889,12879,2104,15063,-9697,6021
-14705,12431,2412,14222,-9832,5223
-14861,12955,2656,13815,-10327,3914
-14829,12899,2688,13582,-10084,3526
-14629,12627,2392,12585,-9032,2832
-14869,12767,2280,11378,-7778,2380
-14965,12139,2516,9102,-5596,1769
-14969,12087,2604,8180,-4883,1594
-15453,13615,2968,5397,-3838,1026
-15569,14291,3184,4490,-3876,908
-15717,15983,3404,827,-4271,240
-15749,16543,3268,-613,-4313,45
-16417,19967,3168,-5214,-5133,-376
-16717,21319,2992,-6635,-5786,-534
-17433,22715,1728,-11281,-7501,-894
-17605,23407,1312,-12686,-7864,-1171
-16737,26099,-68,-16664,-7050,-1239
-16805,27047,-12,-18166,-6346,-1177
-16417,27087,-612,-23121,-5161,-78
-16697,25583,-1460,-23751,-4701,596
-17717,20879,-2684,-21743,-1382,2237
-17921,19919,-2340,-20876,-252,2364
-17953,18579,-1956,-19294,1546,2196
-17197,17219,-2428,-17322,4166,1693
-16129,13839,-2364,-14639,10602,798
-16073,13163,-2160,-14118,12590,472
-16433,12263,-1828,-13109,15822,-270
-16593,11995,-1580,-12214,18046,-1092
-16901,12159,-1192,-11725,20355,-2306
-16961,12363,-1076,-11591,20661,-2719
-16993,13507,148,-11602,19882,-3811
-17049,13947,336,-11759,19092,-4105
-16821,15367,612,-12210,15781,-4697
-16725,15819,436,-12243,14460,-4787
-16785,16643,200,-11441,9889,-4278
-16749,16795,-260,-11022,8575,-3940
-17025,16851,-1068,-9958,6288,-3007
-17277,17087,-2172,-8260,4814,-1854
-18157,15995,-3676,-4964,4753,-525
-18545,15543,-4788,-3619,5501,-479
-18093,15099,-6224,-965,8906,-597
-17741,14315,-4992,134,13251,-108
-18697,13275,-1916,1710,13106,417
-19133,12979,-1300,2302,11637,224
-18501,14183,-1232,3460,6233,-796
-17981,14827,-1576,3491,5102,-989
-17653,17967,-2732,4006,2842,-1035
-17605,20147,-2796,5842,2983,1121
-17709,20391,-2780,6045,2945,1230
-17849,20843,-2620,6302,2854,1459
-18105,25559,-584,7340,309,2144
-17921,26483,-280,7554,-1323,2165
-16333,26615,-2412,9807,-4390,2892
-15729,26755,-2612,11023,-4107,3603
-15797,26359,-864,14224,-2418,6307
-15905,25443,-368,14902,-2324,7183
-16313,22607,876,16850,-3354,9228
-16437,22175,1220,17309,-4041,9551
-16461,21355,1464,18044,-6092,9758
-15769,20523,1316,18470,-7778,9522
-15121,19603,1304,18328,-9025,8604
-14973,19147,1116,18136,-9146,8206
-14833,17823,1020,17553,-9075,7525
-14477,16699,1044,16918,-8449,7059
-14593,15175,1228,15572,-6542,6743
-14693,14959,1388,15084,-5965,6623
-15009,14555,2108,13643,-5434,6115
-15081,13815,2408,11987,-5919,5448
-14757,12543,1652,9743,-6246,4172
-14997,12035,1056,9283,-5892,3753
-14249,11559,-452,8285,-2664,2068
-13741,11815,-320,7501,-759,1814
-14557,11915,900,5173,2748,1541
-14893,12071,1028,4785,2993,1302
-15149,12647,1860,2886,3064,1160
-15305,12675,1992,2145,2885,1298
-16321,13123,2288,-117,1100,1347
-16605,13423,2164,-995,-14,1175
-16705,15199,780,-4040,-2981,224
-16629,15675,164,-5088,-3411,-15
-18029,16387,-1184,-7964,-3988,-710
-18761,16835,-1340,-8668,-4375,-1222
-18981,19171,-2980,-10213,-5600,-3454
-18269,20747,-3204,-10845,-5210,-3909
-16773,22203,-3652,-11975,-2474,-4042
-17481,22835,-2808,-13395,1431,-4277
-17797,22615,-3220,-15801,5143,-6599
-17277,21983,-3640,-16594,6748,-7140
-16593,20235,-4452,-17487,10856,-7817
-16781,18163,-3640,-17714,14806,-8101
-17877,16615,-1728,-16790,16995,-9011
-17757,16527,-1380,-16382,16871,-9292
-17245,16119,-560,-14956,15555,-9508
-17101,16143,-316,-14486,14994,-9441
-16657,16191,-592,-12801,13035,-8784
-16709,16003,-868,-12061,12660,-8527
-16281,15015,-776,-10592,12107,-8005
-16121,14655,-748,-10322,11723,-7809
-16149,14399,-992,-9456,10344,-7444
-16229,14199,-1148,-8351,8775,-7015
-15961,13983,-1616,-7096,7983,-6687
-15953,14003,-1660,-6877,8027,-6632
-15885,14291,-2048,-6328,7975,-6563
-16077,14667,-2488,-5544,7797,-6452
-15741,15551,-2104,-4726,7875,-6004
-15741,15779,-1892,-4571,7752,-5814
-15861,16019,-2372,-3520,6711,-4920
-15985,15987,-2392,-3029,6471,-4506
-16093,15619,-2304,-1308,5450,-3029
-16021,15627,-2220,-736,5135,-2513
-16289,16055,-2328,793,4386,-798
-16497,16303,-2288,1268,4043,-290
-16581,16787,-2424,2211,3374,664
-16357,17159,-2564,2936,2924,1659
-16573,19039,-1976,3905,3065,3873
-17169,19975,-1540,3986,2840,4485
-17949,20651,-1304,4321,1211,5304
-17705,20623,-1712,4709,274,5919
-17493,23219,-884,4433,-1829,6699
-17645,23487,-776,4293,-2760,6937
-17505,24231,-1420,4361,-4806,7217
-17053,22999,-2352,5086,-4810,7777
-16577,19291,-1008,6119,-3324,8687
-16617,18459,-536,6433,-3483,8895
-16321,17167,304,7037,-4746,9130
-15917,17199,1036,7623,-6480,9252
-15765,17903,1488,8372,-9578,9148
-15589,18075,1168,8628,-10395,8973
-15041,17899,184,9533,-11318,8870
-14997,17711,-76,9897,-11193,8918
-14977,16783,-180,11038,-9506,9397
-15017,16355,-40,11346,-8853,9651
-15329,15751,884,12017,-7688,10123
-15357,15687,1192,12079,-7660,10135
-15241,15431,1692,12007,-8141,9940
-15209,15043,1660,11827,-8228,9791
-14965,13755,1404,10998,-7930,9286
-14925,13615,1472,10544,-7725,9142
-15469,12887,1744,8579,-7664,8332
-15625,12603,1816,8047,-7864,7987
-15925,12011,1260,6211,-8376,6368
-15701,12115,1060,5502,-8317,5748
-15769,12247,868,2568,-7888,3744
-15957,12243,644,1743,-7843,3141
-16361,12951,-448,-623,-7698,808
-16241,13543,-820,-1528,-7235,167
-16349,14731,-1920,-4127,-4442,-1546
-16529,15099,-2140,-4684,-3422,-2061
-17173,16931,-2060,-6454,-1108,-3531
-17217,17159,-2084,-6950,-606,-3951
-17553,17435,-2932,-7515,1426,-5042
-17637,18535,-3472,-7356,2271,-5366
-16933,23691,-3508,-7809,6089,-5619
-17057,24367,-3348,-8357,7894,-5479
-17945,24151,-2436,-9948,10758,-5854
-18013,23295,-2308,-10414,10831,-6152
-17749,19115,-3800,-10798,11767,-7234
-17641,17851,-4272,-10569,12652,-7481
-17509,14839,-3632,-8868,15964,-7995
-17485,14499,-2968,-8402,16547,-8107
-17373,13327,-1724,-6915,16966,-7835
-17453,13035,-1380,-6311,16590,-7699
-17365,12655,-48,-4682,14371,-7017
-17229,12407,-36,-4279,13390,-6871
-16257,11531,1092,-4029,7813,-6962
-16209,11643,1044,-4067,7335,-6988
-16009,12115,916,-4268,5508,-7078
-16293,12943,-388,-4447,1976,-7477
-16069,13143,-836,-4515,1671,-7618
-15789,14631,-1580,-5306,2027,-8043
-15669,15175,-1920,-5482,2358,-8201
-15569,16303,-2724,-5916,4377,-8057
-15505,16523,-2700,-5993,5057,-7883
-15813,16359,-2068,-5659,5874,-7036
-15789,16343,-1900,-5394,5863,-6717
-15677,15875,-2080,-4335,5782,-5307
-15805,15559,-2024,-3970,5587,-4783
-16357,14235,-3436,-2194,5376,-3373
-16309,14183,-3968,-1649,5916,-3151
-16185,14759,-4340,-725,8583,-2362
-16357,15047,-4420,-429,9100,-2118
-16357,17023,-4048,603,9727,-1376
-16329,17491,-3708,807,9807,-1065
-16513,18603,-2508,1356,9053,413
-16641,18959,-2316,1595,8339,928
-16769,19223,-2320,2327,6086,2617
-16657,19711,-1892,2352,5358,3068
-16477,24531,-532,1568,1038,4149
-16421,25411,-520,1331,-799,4522
-16361,25031,-3328,1915,-4314,6317
-16453,23679,-3800,2631,-3907,7115
-17009,19807,-2392,4713,-1822,9292
-17153,18851,-1912,5180,-1562,9765
-16369,17143,-316,6151,-2011,10618
-16129,17091,164,6147,-2576,10769
-15821,16691,1388,5624,-5709,10580
-15797,16187,1044,5508,-6733,10316
-15537,15251,160,5210,-8514,9585
-15453,14979,148,5104,-8480,9397
-15493,14295,-176,4982,-7988,9010
-15677,13923,-352,5171,-7753,8920
-15357,13103,-1008,6192,-5706,8556
-15157,13123,-824,6409,-4699,8552
-15257,13491,484,6668,-3223,8594
-15341,13647,760,6706,-3283,8578
-15545,13955,1204,6427,-3880,8421
-15557,14055,1296,6195,-4068,8274
-15805,13911,1292,5295,-5148,7450
-15697,13811,1216,4975,-5465,7045
-15889,13131,844,3443,-6394,5603
-15785,12919,724,2943,-6566,5049
-15733,12391,232,1152,-6623,3229
-15761,12339,8,580,-6482,2614
-15849,12855,-680,-1443,-5676,689
-15905,13031,-992,-2049,-5199,44
-15893,13515,-1320,-3257,-4133,-1269
-15833,13811,-1200,-4392,-3129,-2452
-15961,14943,-1396,-6008,-2002,-4158
-15949,15403,-1380,-6486,-1720,-4641
-16141,16391,-1472,-7401,-1234,-5561
-16249,17987,-1292,-8404,-1383,-6724
-15805,19347,-2232,-9552,-2186,-8387
-15705,19811,-2772,-9441,-2159,-8681
-15429,23587,-4128,-8234,-842,-8015
-15605,23763,-4452,-7744,403,-7282
-17333,22711,-2480,-7180,3139,-6083
-17173,23015,-1976,-7279,2832,-6125
-15785,22271,-3764,-6820,2564,-5801
-15753,21499,-4404,-6353,3105,-5504
-16129,19303,-4168,-5016,4639,-5027
-16245,17075,-3404,-4183,6000,-4547
-16213,13859,-2696,-2653,7335,-3304
-16357,13867,-2248,-2154,7550,-2879
-16989,14051,-1332,-727,7026,-1530
-17069,13983,-844,-334,6682,-1231
-16957,13871,-252,126,5143,-873
-17013,13839,-292,123,4625,-842
-17245,13027,-916,102,3511,-1138
-17301,12763,-896,86,3408,-1328
-16949,12127,-1260,60,3451,-1903
-16973,11983,-1204,21,3656,-2105
-16925,12491,-1020,-209,4304,-2539
-16893,12843,-1080,-311,4315,-2614
-16745,13971,-560,-372,3935,-2640
-16689,14347,-232,-452,3608,-2598
-16521,15043,-36,-787,1864,-2585
-16505,15227,-124,-893,1295,-2594
-16225,14855,-824,-1097,-119,-2524
-16165,14755,-828,-1203,-210,-2490
-16105,14695,-1348,-1547,-189,-2362
-16041,14719,-1588,-1614,-4,-2352
-16069,14787,-1768,-1718,820,-2167
-16229,14915,-1664,-1743,973,-2114
-16181,15111,-1532,-1727,834,-2040
-16197,15219,-1740,-1744,822,-2016
-16177,16535,-2304,-1511,1114,-1652
-16177,17163,-2568,-1342,1418,-1456
-16545,19147,-2644,-940,2209,-427
-16481,19543,-2632,-784,2324,-63
-16865,19443,-2568,-272,3050,1511
-16981,19627,-2160,-184,2998,1922
-17217,22811,-1424,-487,1101,2508
-17257,22863,-1528,-561,126,2712
-17093,24275,-2616,-560,-2581,2849
-16829,23751,-3468,-264,-2466,3141
-17069,19675,-3832,1474,299,4616
-17337,18187,-3184,2016,964,5058
-17321,14899,-876,3590,363,6103
-17225,14367,-368,3977,-415,6303
-16761,14103,404,4589,-3515,6071
-16509,14267,492,4474,-4423,5823
-15857,14911,364,3500,-6572,4741
-15773,15099,0,3253,-7106,4352
-15701,14627,-1292,2913,-7218,3394
-15613,14391,-1460,2855,-6690,3239
-15521,14147,-1288,2918,-5344,2926
-15301,14023,-924,3209,-4420,2899
-15137,14287,-144,3924,-4100,3210
-15105,14295,296,4141,-4282,3429
-15241,14003,484,4657,-5305,3814
-15301,13931,388,4808,-5616,3930
-15101,13739,-20,4932,-5863,4092
-15385,14467,-740,4591,-4403,3988
-15369,14519,-748,4532,-4303,3942
-15417,14667,-792,4499,-4133,3925
-15685,15379,-764,3980,-2899,3462
-15605,15447,-796,3819,-2556,3241
-15757,15747,-556,3326,-1500,2601
-15873,16031,-404,3075,-1366,2339
-16177,16375,-184,2239,-1760,1561
-16289,16235,-156,2000,-1972,1308
-16477,16391,-768,1164,-1963,541
-16597,16827,-832,912,-1945,290
-16869,17699,-1132,397,-2033,-172
-17185,18391,-1604,-78,-1857,-755
-17029,18527,-1700,-1199,-687,-1970
-16969,20299,-1524,-1822,-495,-2613
-16389,23827,-1700,-3918,-158,-3768
-16289,24519,-2108,-6129,887,-4107
-17077,21055,-3080,-7396,1428,-3918
-17117,19555,-3352,-7184,1775,-3597
-17557,16299,-3140,-6016,2641,-2619
-17741,14867,-2536,-4326,2592,-1883
-16869,14551,-2828,-2578,2649,-496
-16597,13963,-3292,-1719,2706,207
-16221,13083,-2760,1171,2848,2169
-16461,12583,-2584,1920,2614,2598
-16205,11015,-2524,3394,2916,2874
-16101,10527,-2412,3542,3076,2703
-15469,9439,-1620,2886,4057,1634
-15369,9359,-1484,2395,4317,1138
-15705,10255,-1128,734,3729,-998
-15765,10683,-1416,206,3058,-1779
-15069,11459,-2632,-974,2538,-3571
-14985,11951,-2656,-1387,3148,-3872
-14901,13091,-2328,-2427,4328,-4072
-15381,14187,-2600,-3120,4832,-3891
-15457,15183,-2988,-3089,4408,-3507
-15141,15143,-2652,-3035,4254,-3327
-14809,14959,-2420,-3064,3886,-2872
-14885,14863,-2316,-3045,2937,-2569
-14769,14791,-3816,-2196,1766,-2097
-14701,14799,-4280,-1817,1842,-1937
-14701,14771,-4428,-1362,2774,-1752
-14777,14791,-4720,-1112,4030,-1681
-14933,15243,-4636,-884,5905,-1692
-15001,15283,-4648,-823,6224,-1660
-15233,15887,-3624,-957,6867,-1683
-15381,16119,-3396,-1125,6718,-1742
-15397,17447,-3376,-1533,5626,-1922
-15469,17607,-3520,-1639,5423,-1796
-16045,18451,-3664,-2279,5605,-1439
-16245,18259,-3424,-2493,5574,-1349
-17169,25359,-1584,-5140,3210,-2367
-16765,25879,-2704,-5611,2037,-2719
-16193,24135,-3752,-5917,2775,-2796
-16237,22459,-3828,-5505,3094,-2570
-16613,17339,-2424,-3667,5702,-971
-17053,16195,-1640,-3000,5921,-478
-17289,15527,804,-1352,3735,442
-17053,15399,908,-875,2494,589
-16349,15255,320,46,504,771
-15713,15071,-616,877,305,901
-15581,14111,-1304,1890,2492,1468
-15721,13931,-1336,2213,3308,1592
-15777,13607,-1456,2981,4838,1845
-15777,13155,-904,3711,6061,2117
-15497,12695,176,4519,6867,2415
-15405,12547,592,4571,6645,2379
-14945,12347,848,4475,6086,2112
-14877,12363,452,4271,5745,1657
-14717,13051,64,3929,5255,914
-14889,13315,84,3696,5230,660
-15049,13759,-192,3259,4927,184
-15161,14399,-464,2869,4681,-309
-15093,15175,-576,2339,4825,-673
-15229,15219,-724,2294,4892,-701
-15445,15339,-696,2295,5028,-690
-15549,15683,-320,2240,4914,-693
-15769,15371,-840,2080,4609,-1051
-15657,15039,-1084,2046,4877,-1205
-15797,14743,-1068,1799,5499,-1580
-15801,14827,-868,1263,5812,-2210
-15873,14699,-936,416,6116,-3282
-15817,14639,-968,143,6241,-3707
-15717,14163,-1172,-650,6690,-4841
-15733,14083,-1128,-861,6866,-5173
-15765,14639,-508,-1568,6853,-6260
-15729,14747,-572,-1765,6522,-6645
-15621,15923,-708,-2397,5830,-7633
-15653,16631,-1096,-2458,5670,-7866
-15585,16611,-2516,-1795,7175,-7926
-15689,17147,-2216,-1550,7969,-7833
-15697,25451,-1240,-2223,7720,-8565
-14985,25703,-1956,-2307,7975,-8299
-14981,27479,-1640,-3042,10119,-7572
-15197,22579,-2624,-3147,11781,-5952
-16533,15375,-1812,-1841,15540,-3823
-17105,14227,-1248,-1244,15638,-3456
-17157,13143,-408,-25,14572,-3221
-16589,12763,220,1077,13000,-3202
-15753,13195,264,2475,10684,-3090
-15625,13555,164,2874,10236,-3027
-15765,14647,-680,3299,10523,-2821
-15849,14891,-864,3151,11029,-2843
-16221,14815,-1296,2331,13266,-2782
-16145,14535,-1248,1963,13886,-2790
-16177,13611,120,357,14680,-3084
-16221,13459,576,-200,14305,-3300
-16221,13111,1140,-2006,11529,-4075
-16221,13083,1060,-2476,10394,-4315
-16237,13135,36,-3594,7916,-4849
-16197,13099,-452,-3818,7566,-4970
-16241,13295,-1408,-4236,7560,-5176
-16153,14095,-1980,-4628,8321,-5240
-16029,15099,-2372,-5073,9652,-5332
-16009,15251,-2412,-5124,10152,-5295
-15889,15099,-2588,-5073,11107,-5031
-15845,14907,-2784,-4786,11933,-4449
-15817,14655,-2524,-4026,12832,-3395
-15753,16747,-1720,-3739,12455,-2248
-15717,17079,-1688,-3709,12336,-2147
-15605,17859,-2060,-3641,12197,-1981
-16029,21591,-2512,-3296,12698,-1109
-16173,23819,-2008,-3471,12536,-1139
-15321,26835,-2424,-3663,10915,-1035
-15137,25199,-2516,-3336,11128,-562
-15629,21071,-2256,-2291,11691,796
-16109,15575,-2284,-750,12644,2411
-17117,12803,60,1058,12118,3791
-17153,13355,868,1440,10720,3857
-16641,14147,1604,2161,6783,3807
-15969,15223,1540,2744,2801,3416
-15545,17995,-660,3960,-398,2379
