acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
-11213,7939,-7752,-5752,4606,-12454
-11533,7995,-7012,-6000,4700,-12630
-12425,8195,-4492,-7669,3654,-13735
-10569,11295,-5480,-10061,-2093,-17558
-10037,12063,-6556,-10236,-2001,-17631
-9761,12495,-6968,-10324,-1820,-17609
-7841,16527,-11112,-11018,3488,-16862
-7797,17527,-10736,-10859,5855,-16204
-8437,17799,-7072,-8192,9229,-13819
-8665,17615,-5072,-7267,8675,-13034
-9305,16575,-2964,-5916,5502,-11659
-9689,15163,-2648,-4930,2294,-10474
-10901,13375,-2404,-4510,-632,-9654
-11325,13111,-2592,-4525,-988,-9717
-12649,13419,-2868,-4885,-1013,-10352
-13117,13855,-3116,-4830,-841,-10807
-13121,16287,-1796,-5761,502,-12072
-13209,16643,-1324,-6337,816,-12304
-13869,18019,-488,-8312,1228,-13171
-14217,18623,-476,-8911,1141,-13390
-14409,19423,-560,-9955,753,-13643
-14297,19687,-616,-10555,882,-13527
-14121,19647,-60,-10766,1090,-12719
-14169,19403,200,-10652,1043,-12303
-14353,19091,632,-10128,216,-11182
-14429,18987,804,-9241,-1001,-9928
-14185,19119,96,-8019,-1758,-8236
-13917,19015,-64,-7854,-1392,-7713
-13893,18231,-356,-7731,-114,-6869
-14317,17551,-688,-7624,1096,-6662
-13833,17495,-1792,-7675,3211,-6861
-13453,17323,-1888,-7817,4492,-6832
-13421,17187,-1212,-8324,8258,-6557
-13749,17471,-1108,-8284,8815,-6501
-13841,17571,-256,-7673,9708,-5661
-13917,17319,104,-7406,9806,-5230
-14577,17595,136,-6256,9340,-3711
-14725,17943,-264,-5705,9129,-3195
-15309,17879,-564,-4747,10049,-2165
-16245,16095,836,-4901,11297,-1508
-17401,15799,1952,-4593,8997,-1578
-17789,16299,2028,-4192,7832,-1614
-17861,16679,1536,-3411,6018,-1696
-18137,16703,932,-2593,5440,-1274
-19037,15083,1432,-1231,5614,-572
-19153,14987,1640,-702,5419,-554
-18925,18683,1712,213,4123,-1045
-18365,28343,748,358,2475,-2073
-16413,28775,-4540,405,7326,553
-16961,22875,-4836,1253,10880,2455
-19197,13867,-1684,2964,16565,5665
-22057,9127,3080,3979,15224,6951
-21717,7263,6004,5247,3306,5551
-20717,7303,5452,5620,-513,4983
-19233,9515,3196,6480,-6447,3904
-17965,12507,848,7015,-8423,3189
-16365,16635,-1832,7077,-4225,2162
-16129,17631,-2296,7001,-1850,1965
-16737,19875,-1572,6285,4500,1980
-17093,19975,-1184,5882,5801,2225
-18397,17591,1120,4180,7118,2976
-18865,16491,1620,3699,6113,3116
-18785,14931,2700,3156,-222,3169
-18393,14863,2688,3027,-2334,3249
-17373,14739,2240,2301,-7533,3424
-17121,14707,1860,2234,-8887,3460
-16809,15183,308,2279,-11689,3260
-16789,15439,-64,2321,-12032,3185
-16945,15123,-1492,2286,-10474,3090
-17013,14719,-1808,2218,-9760,3151
-16997,13943,-1600,1827,-7547,3154
-17037,13995,-1296,1640,-7146,3161
-17037,14299,-744,1177,-7022,3056
-16885,14955,-412,688,-7478,2818
-16557,16947,-324,-307,-8603,2242
-16469,17431,-424,-596,-9016,2016
-16277,18423,-1224,-879,-9097,1710
-16209,19395,-1808,-940,-8191,1781
-16397,21623,-1704,-767,-6650,2289
-16413,22027,-1780,-581,-6373,2555
-16505,21239,-1568,255,-5786,3325
-16529,20151,-1432,1354,-5256,3918
-16129,18075,-172,2392,-4630,5115
-16109,17051,232,2606,-4681,5440
-16141,14723,576,3177,-5432,6175
-16245,13475,1176,3680,-6659,6765
-16593,13807,2096,3780,-9927,6415
-16681,14331,2220,3551,-11189,5908
-16369,17011,1512,2748,-15045,3316
-15945,17455,980,2458,-15616,2440
-14741,17263,-1120,1868,-14008,632
-14581,17083,-1436,1834,-12444,320
-14861,16779,-1688,2282,-6591,231
-14861,16551,-1560,2670,-4661,405
-15121,15843,-112,3897,446,1291
-15245,15575,656,4114,1329,1544
-15301,15179,2156,4477,1643,2012
-15237,15311,2320,4477,1223,1934
-14237,15779,1132,3706,159,1708
-14001,15447,528,3614,93,1614
-14385,14799,904,3006,-980,881
-14401,14083,12,2936,-1655,543
-13469,13447,-2676,3658,-83,-330
-13201,13459,-2900,3765,1521,-297
-13613,13371,-2024,3955,6185,286
-13901,13155,-1408,4131,6787,417
-14401,11791,-92,4954,6697,1090
-14617,11219,260,5158,6513,1314
-15093,10539,1012,4960,5236,1619
-15197,10491,1128,4682,4593,1625
-15585,10163,196,3894,2025,1234
-15637,10059,-204,3621,1447,1036
-15325,9999,-1024,2451,839,231
-15441,9999,-1296,2169,644,159
-16473,12143,-864,1201,-1244,-325
-16837,13871,-504,379,-2407,-1035
-16897,20491,-2452,-3063,-6536,-4466
-16401,22491,-3812,-4217,-6825,-5435
-15337,24827,-6532,-7989,-481,-5432
-15565,24859,-6528,-8132,176,-5270
-16641,24223,-5860,-8513,2554,-4303
-18669,22807,-3956,-7986,3750,-2803
-18877,22827,-3476,-7775,3358,-2564
-18141,22183,-3160,-7060,996,-1524
-17885,21379,-3288,-6675,510,-1057
-17565,19543,-3664,-5801,151,-265
-17349,17403,-4076,-5021,877,233
-17481,13555,-3972,-3857,3026,516
-17517,12823,-3828,-3614,3562,481
-17337,11639,-3100,-3180,4357,414
-17225,10711,-2184,-2872,4481,262
-16897,9475,-720,-3267,3216,-132
-16929,9151,-388,-3447,2353,-317
-16709,8551,-88,-3862,166,-743
-16693,8127,-924,-3826,-1606,-1366
-16105,9363,-1272,-4130,-2277,-2038
-16113,9855,-1468,-4083,-2347,-2128
-16245,10955,-2012,-3579,-2416,-2296
-15985,11395,-2316,-2584,-1697,-2085
-15941,11991,-1656,-1067,110,-1118
-16045,12251,-1532,-630,440,-809
-15997,13143,-1324,862,1156,118
-16129,13743,-1488,1418,1355,383
-16201,15507,-1100,2875,2423,1333
-16617,17359,-720,3047,2210,1381
-17105,23051,-1852,4060,-486,655
-16273,22807,-2556,4589,47,764
-16473,24691,-1200,4927,3338,970
-16733,26759,-544,4452,3505,593
-16621,32943,-340,1597,2315,-1159
-15981,30187,-1592,1174,2328,-1135
-15437,22095,-896,1112,5186,-709
-15509,21171,-48,701,5642,-422
-16121,17847,1068,-1229,5325,301
-16381,16823,960,-1686,4949,328
-16313,14331,616,-2597,2854,-81
-16057,13431,688,-2816,2249,-273
-15513,11227,1296,-3589,104,-1112
-15381,10647,1428,-3869,-724,-1409
-15497,9399,632,-4093,-3203,-2584
-15533,9375,264,-3898,-3661,-3077
-15165,9131,-1380,-3102,-2881,-3902
-15033,8687,-1804,-2643,-2038,-3919
-14769,8235,-2512,-1285,722,-3732
-14813,8435,-2388,2,4051,-3195
-15209,9247,-1376,1536,8196,-1817
-15473,9619,-808,2021,8801,-1407
-16365,10995,304,2857,8518,-801
-16877,13643,816,3234,6456,-545
-17197,23215,652,2624,629,-1387
-16765,26463,-244,2330,-757,-1545
-16153,29771,-1964,1058,-666,-957
-16681,28967,-3224,-243,738,9
-17897,25111,-3252,-305,1783,1747
-18353,24923,-2512,-117,1599,2048
-18513,28231,-784,-447,-645,1868
-17445,26191,-2880,-824,-1867,2393
-17129,20275,-4588,426,2183,3654
-17257,18903,-4164,728,3542,4066
-17449,16287,-3344,1078,5594,4370
-17249,13835,-2380,1214,6894,4350
-16793,10771,-916,1082,6855,4089
-16693,10135,-548,994,6367,3960
-16553,9107,172,874,4776,3675
-16221,8571,928,479,2609,3506
-15885,8163,1500,-228,-1098,3919
-15845,7803,1316,-231,-2131,4216
-15761,7251,1292,2,-3612,5002
-15933,6735,2028,46,-4788,5982
-17017,6607,1928,15,-8077,6031
-17049,6839,1452,238,-8965,5466
-16137,8343,-256,518,-9220,4282
-15525,9911,-952,260,-7882,3414
-15169,11495,-1900,357,-4563,2707
-15577,13287,-1884,325,-3441,2083
-16097,18795,-1408,-100,-2254,135
-16205,24191,-1048,-1125,-1763,-2066
-15597,27419,-1012,-2876,-1654,-4545
-15749,28279,-596,-3368,-1905,-5166
-15725,31815,-148,-5491,-4444,-7035
-15417,30911,-1192,-5922,-5078,-7178
-14693,27159,-3016,-4272,-3896,-6631
-14277,26499,-3060,-3567,-2617,-6106
-14077,23159,-2704,-2568,2975,-3333
-14429,21411,-2300,-2030,4381,-2485
-14961,18043,-840,-663,5364,-1017
-14989,14867,624,146,4548,9
-14853,11203,1580,723,1658,805
-14801,10291,1788,894,670,832
-14721,8611,1804,1132,-2524,682
-14645,8291,1812,1230,-3552,477
-14593,7727,332,1834,-5088,-505
