acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
-4677,8175,-4900,-41,-612,-48
-4561,8127,-5380,-21,-642,1
-4589,8059,-5584,-70,-296,20
-4653,7999,-5480,-44,-11,-48
-4777,8179,-5388,-51,-213,-112
-4789,8163,-5156,-64,-254,-114
-4773,8175,-5344,-75,-319,-112
-4753,8147,-5392,-136,-441,-88
-4737,8227,-5336,-129,-489,-19
-4761,8199,-5256,-153,-514,-6
-4833,8099,-5528,-139,-346,-22
-4789,8083,-5216,-70,-242,-70
-4849,8123,-5232,-66,-213,-131
-4785,8103,-5452,-22,-174,-88
-4789,8147,-5340,-28,-210,-92
-4733,8155,-5384,-37,-106,-117
-4785,8111,-5432,-59,-50,-128
-4773,8163,-5356,-27,-167,-114
-4873,8203,-5264,-53,-296,-115
-4841,8175,-5372,-52,-260,-109
-4985,8235,-5380,-60,-206,-108
-4917,8111,-5380,-75,-247,-71
-4889,8119,-5488,-43,-256,-51
-4789,8187,-5416,-51,-237,-64
-4853,8195,-5528,-2,-152,-73
-4861,8219,-5248,-35,-98,-79
-4861,8135,-5388,-37,-124,-79
-4833,8111,-5344,-30,-185,-43
-4765,8199,-5344,-29,-211,-16
-4865,8207,-5368,-60,-165,-57
-4857,8231,-5448,-25,-177,-33
-4949,8167,-5416,-9,-180,-18
-4905,8231,-5476,10,-200,-43
-4941,8183,-5504,-25,-119,-54
-4981,8219,-5480,-37,-75,-46
-4933,8215,-5472,15,-157,-57
-4909,8235,-5496,47,-174,-82
-4981,8199,-5536,23,-93,-122
-4945,8231,-5440,-4,-35,-132
-4857,8191,-5448,49,-68,-120
-4893,8227,-5376,-6,-97,-120
-4897,8251,-5556,1,-141,-67
-4909,8215,-5492,-51,-139,-108
-4925,8191,-5532,-15,-243,-144
-4985,8219,-5568,-3,-309,-158
-4989,8331,-5580,-37,-294,-173
-5097,8391,-5540,-54,-175,-226
-5101,8351,-5568,-65,-176,-306
-5117,8431,-5496,-99,-164,-381
-5069,8395,-5624,-113,-210,-376
