acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
-14567,13402,2366,-1786,5013,-1429
-14511,13398,2282,-1753,4778,-1384
-13483,14038,1846,-1522,3147,-798
-12927,15462,1490,-1146,-143,266
-12835,15594,1462,-1123,-174,331
-12859,15630,1314,-1222,-219,359
-12839,15698,1302,-1254,-202,386
-12859,16038,1166,-1514,-68,460
-12735,16990,1158,-1895,224,246
-12455,19850,1310,-1827,515,-315
-12419,20582,1498,-1559,433,-367
-12075,20998,2042,-1127,-101,-211
-11967,20494,2414,-1337,-853,631
-12535,19778,2110,-2850,-1442,2368
-12743,19954,2062,-3182,-1464,2874
-13415,20738,2050,-3135,-1346,3178
-12939,22150,2786,-1954,-1823,3048
-11411,21414,3482,1659,-6083,4183
-11671,21342,3630,2697,-7332,4937
-13823,20310,3806,3935,-8497,6860
-14243,19902,3694,3828,-8276,7268
-14303,19050,3106,4002,-7145,8179
-14263,19170,3110,4132,-6566,8373
-14015,19406,3010,4662,-3982,8444
-14139,19130,3142,4898,-3187,8349
-14175,17742,4106,5131,-926,8314
-14283,17014,4330,4899,-535,8296
-14675,15262,5194,4120,-621,8334
-14791,14738,5510,3928,-1013,8330
-15027,13798,5874,3631,-2655,8167
-15047,13510,5638,3514,-3098,7958
-15179,12630,4974,3226,-3751,6996
-15159,12362,4846,3168,-3697,6590
-15179,12002,4534,2823,-3071,5569
-15047,11830,4506,2196,-2269,4389
-15215,13098,3986,1137,-684,2071
-15279,13790,3982,884,-107,1179
-15555,15486,4010,896,1083,-1069
-15399,17338,4146,1302,2096,-3536
-14875,18546,4430,1113,2575,-6386
-14863,18802,4362,567,2550,-7060
-14727,19090,3870,-517,2343,-7909
-14831,20438,2378,-1231,2944,-8851
-14955,20530,2210,-1229,3441,-9196
-14355,19862,1942,-977,4567,-10304
-13963,18582,1770,-798,4311,-10150
-14031,15622,1526,-1648,3591,-8813
-14103,15790,1474,-2143,3518,-8279
-14271,16434,1298,-2815,3368,-7148
-14571,17246,994,-2664,3158,-5835
-14907,17166,626,-1937,4153,-4579
-14823,16982,630,-1799,4849,-4444
-14507,16110,654,-1562,6453,-4308
-13951,15186,1034,-1444,7998,-4143
-13435,13462,1874,-1815,8957,-3698
-13375,13214,2290,-1878,8907,-3592
-13427,12874,2270,-1934,8575,-3345
-13383,12714,2630,-2014,8110,-3355
-12875,12986,2658,-1897,6926,-3560
-12739,13154,2674,-1778,6420,-3593
-12151,13650,2786,-1607,5097,-3607
-11883,14270,2698,-1541,3436,-3505
-11719,15662,2094,-1641,1127,-3182
-11779,16338,1894,-1631,549,-3086
-11879,18858,1286,-1891,-537,-2758
-11931,19654,1254,-1985,-642,-2686
-11591,21966,1058,-2160,-319,-2490
-11375,21954,978,-2036,-388,-2157
-11499,21878,1274,-2316,-596,-925
-11739,22858,1230,-2457,-413,-503
-12731,25194,2334,-1888,-347,562
-12671,26342,2658,-1507,-509,806
-11239,21866,3166,918,-3963,3547
-11299,19622,3414,1265,-5157,4705
-13011,16374,3550,460,-7344,8083
-13587,16030,3622,167,-7644,8814
-14371,16298,3654,450,-8457,9736
-14383,16510,3622,919,-8664,9690
-14243,17310,3826,2170,-9077,9174
-13939,18262,3846,3749,-9548,8347
-13903,18806,4090,6085,-9978,7003
-13723,18694,3970,6561,-9677,6733
-14147,17846,3774,6788,-8475,6499
-14335,16698,4070,6266,-6968,6575
-14483,15146,4454,5238,-5605,6991
-14463,14814,4382,4946,-5292,7168
-14619,13974,4150,4222,-4307,7530
-14791,13246,4218,3348,-3152,7486
-14919,12362,4390,2057,-1848,6592
-14867,12338,4430,1745,-1595,6105
-14823,12702,4474,1472,-1336,5081
-14991,13238,4638,1322,-1113,3565
-15339,15638,4418,1787,-735,461
-15463,16350,4474,2141,-621,-597
-15267,18086,4230,2433,53,-2701
-15075,18878,4242,1953,1022,-4350
-15167,19938,3706,-179,2582,-5941
-15227,20450,3078,-861,3279,-6302
-15371,20738,2386,-2678,6342,-7720
-15167,20814,2654,-3183,7143,-8129
-13599,17254,3362,-3908,5968,-7566
-13583,16030,3334,-4085,4721,-6933
-14207,15274,3006,-4184,406,-4536
-14439,15318,2966,-4301,-710,-3682
-15811,15442,1374,-3468,-2769,-2578
-15963,15574,814,-2936,-2518,-2789
-15111,16194,-366,-1223,706,-4155
-14599,16270,-770,-1020,2395,-4543
-13395,15910,-1058,-683,6288,-4845
-13239,14322,222,-1079,9135,-5098
-13579,13210,1178,-2348,11269,-4986
-13759,13234,1462,-2512,11616,-4905
-14071,12854,2042,-2311,11341,-4720
-13755,12854,2814,-2114,10267,-4663
-13163,13546,3350,-1937,7681,-4709
-12819,13798,3514,-1835,6645,-4728
-12103,14446,3338,-1662,4033,-4630
-11779,15554,2806,-1485,1512,-4548
-11723,17454,1910,-1480,-1212,-4246
-11767,20366,622,-1522,-1680,-3941
-11775,20630,714,-1576,-1534,-3898
-11771,21058,634,-1599,-1271,-3887
-11299,21790,338,-1340,19,-2941
-11347,21798,702,-1391,365,-2608
-11763,24042,1530,-1710,1534,-1303
-12135,24270,1670,-1565,1704,-835
-11887,25454,2914,-540,1355,598
-11479,24086,3154,177,327,1520
-11639,18618,4242,1027,-3768,4772
-12151,17654,4434,945,-4857,5785
-13651,15814,4326,638,-7250,7619
-13919,15502,4174,804,-7851,7825
-13651,15834,3750,1969,-8829,7645
-13675,16246,3738,2569,-8949,7358
-13875,17362,3902,4012,-8962,6481
-13787,18386,4158,5514,-9019,5535
-14019,18218,4374,6869,-8620,4964
-14139,17858,4402,6847,-8239,5041
-14287,17046,4302,6386,-7031,5576
-14459,16150,4538,5640,-5853,6411
-14855,14830,4654,4148,-4263,7645
-14895,14618,4714,3653,-3781,7912
-14915,14026,4918,2752,-3094,8324
-15075,13278,5230,1804,-2720,8435
-15231,12494,4782,892,-2341,7664
-15439,12534,4778,731,-2179,7118
-15587,13258,4518,519,-1673,5617
-15919,15262,4038,589,-663,3448
-15847,18210,3594,1687,1761,-724
-15663,18478,3786,1844,2628,-1937
-15383,18418,4142,1343,4165,-3868
-15271,18794,4094,194,4517,-5078
-15947,19330,3738,-1287,4748,-6020
-16035,19662,4006,-1640,4667,-6492
-14983,19866,3998,-2290,2343,-7325
-14383,19158,3678,-2259,913,-6944
-14803,16926,1982,-2789,-1720,-4838
-15283,16538,1490,-3136,-1936,-4293
-16283,15770,494,-4029,-1733,-3390
-16327,15598,250,-4028,-1484,-3304
-16075,14830,-354,-3104,-108,-4018
-15763,14738,-714,-2692,815,-4467
-14631,14482,-406,-1871,4995,-5752
-14307,14254,-214,-1704,6227,-5912
-14015,13446,502,-1706,8274,-6116
-13991,12934,1594,-2071,9579,-5957
-14059,12822,2166,-2083,9611,-5447
-14027,12982,2294,-2099,9494,-5283
-13983,13554,2746,-2282,9007,-5093
-13351,14238,3018,-2313,7945,-4837
-12119,14934,2922,-2390,4597,-4196
-11859,15414,2870,-2364,3344,-3942
-11791,16610,2294,-2322,994,-3371
-11983,18010,1566,-2204,-573,-3067
-11927,19702,746,-1731,-1561,-2990
-11915,20482,442,-1679,-1338,-2976
-11275,21222,94,-1132,-209,-2778
-11211,20946,322,-945,86,-2609
-11347,21658,538,-959,890,-1962
-11523,22486,702,-1007,1335,-1580
-12171,25266,1746,-415,2483,-591
-11879,25890,2422,7,2307,-158
-10623,21110,3558,1697,-1361,3003
-10683,19870,3806,1699,-2691,4219
-12663,17602,4274,1368,-5988,7719
-13199,17222,4278,1377,-6791,8490
-13851,16758,3950,2156,-8699,9783
-13863,17086,3838,2669,-8955,9941
-14271,18742,3670,4076,-8211,9563
-14327,19218,3714,4589,-7840,9322
-13783,19226,3690,5600,-6085,8851
-13967,18638,3658,5630,-5285,8782
-14419,16638,3942,4435,-2162,8815
-14623,15986,3982,4057,-1424,8885
-14903,14802,4546,3215,370,9075
-14851,14578,4670,3013,652,9119
-14787,13322,5530,2233,325,8880
-14803,13074,5614,1952,-81,8729
-15127,12118,5754,1300,-1835,7772
-15111,12038,5554,1116,-2303,7205
-15195,12606,4846,859,-3069,4992
-15239,13126,4730,880,-3015,4034
-15371,15718,4086,1510,-2119,467
-15375,16662,4122,1810,-1624,-765
-14979,17490,4138,1900,-273,-3827
-14963,17530,4118,1453,-28,-4561
-15155,18606,3034,-109,932,-6405
-15351,19334,2662,-349,1511,-7099
-15115,20994,2246,-630,4092,-9678
-14479,20782,2474,-661,4411,-10090
-13335,18110,2782,-1670,3645,-9483
-13499,17606,2406,-2154,3229,-8852
-14375,16442,1950,-3288,2034,-6623
-14471,16450,1778,-3720,1850,-5912
-14919,16134,1458,-4111,1123,-4505
-14935,16002,1126,-4006,1229,-4421
-14227,15430,498,-2835,2506,-4682
-13971,15134,626,-2564,3395,-4808
-13219,13654,1126,-2577,6113,-5026
-13195,13230,1374,-2607,6605,-5076
-13371,12946,2206,-2583,7182,-5346
-13259,12978,2362,-2691,7213,-5370
-12947,12866,2482,-2758,6453,-5386
