acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
-1440,2387,1435,1793,-1574,-1221
-1324,2415,1211,1795,-1821,-1314
-936,2987,-85,1593,-1869,-1680
-800,2839,-1237,2003,813,-2299
-892,2875,-1229,2046,997,-2324
-912,2747,-1177,2114,1102,-2335
-1508,2639,-1009,2421,1564,-2628
-1508,2603,-705,2611,1352,-2804
-1228,3407,191,2879,117,-3234
-1272,3491,3,2872,-437,-3271
-1704,3231,-1169,3065,-787,-3504
-1900,3187,-1545,3122,-364,-3578
-2444,2979,-1473,3258,1638,-3894
-2576,2847,-1385,3418,2107,-4162
-2332,3343,-1061,4346,2460,-4640
-2176,3743,-649,4662,2633,-4571
-2632,3171,-209,4879,3597,-4636
-2600,2667,-365,4900,4112,-4985
-2252,3343,-785,5914,5555,-5931
-1856,3815,-149,6303,5888,-6019
-892,6291,1131,7026,6648,-5186
-532,7115,1147,7127,6815,-4497
-160,5503,1583,7587,8477,-4999
164,5143,2011,7847,8672,-5499
1712,6391,3451,6688,7142,-6406
2708,7591,3635,6131,6281,-6323
3976,8215,4303,5705,4372,-4611
4108,7951,3927,5670,3698,-4421
3756,7087,3087,6075,3206,-4035
3156,7127,3059,6420,3260,-3908
2040,7463,3343,7422,3921,-3622
1620,7591,3779,7694,4416,-3401
356,8023,4307,7836,6157,-2988
-1152,8007,4463,8199,9031,-2793
-3640,8439,6523,9533,13452,-3324
-3968,8623,7399,9894,14285,-3434
-4548,9499,8795,10104,15657,-3694
-5048,10087,10531,10283,16292,-3486
-4772,9099,11779,10398,15266,-4160
-4320,8903,11907,10749,13913,-4645
-2456,8571,10655,12057,7444,-5569
-1824,8479,10171,12294,6163,-6164
768,9075,8327,11859,3745,-6984
832,8939,7335,11472,3641,-6767
836,7723,5995,8567,2541,-4901
804,6555,5067,7518,2191,-4546
1604,4291,2287,6096,977,-4494
2532,4979,2047,5806,838,-4880
4992,7707,1463,5176,659,-5222
5880,8175,987,5242,909,-4793
6556,7771,1207,5129,4383,-3135
6140,6995,1355,4940,5826,-2767
5316,5323,2507,4803,8433,-2143
4364,4159,4863,4418,9985,-1148
1812,2339,8607,1503,10647,1419
852,1935,8711,56,10689,2128
-1060,-453,9463,-2735,10508,3441
-2788,-1901,10099,-5567,8833,4419
-4104,-1257,11883,-11361,5879,6987
-4748,-561,11183,-13578,5023,8281
-5824,819,10175,-17236,3890,9748
-5368,2583,9719,-20992,4771,11380
-3640,5315,9963,-27053,6591,13836
-3504,6259,9755,-29228,5607,14160
-100,5215,12783,-30321,6301,14364
3776,7599,15663,-29667,6089,11120
5152,12023,13263,-19216,7073,6634
5076,14235,15135,-11449,7386,3990
2756,18383,19135,4796,8535,-1490
296,17655,21019,8794,5371,-1695
-900,16895,24379,6240,3579,-4782
-3924,13971,15535,4388,5084,-277
-5252,9131,13707,11697,-3705,-5124
-5440,9211,13075,12951,-5625,-4949
-5880,6723,10667,13189,-12885,-2782
-6324,4955,9595,12769,-14234,-1649
-6064,-377,7679,8645,-16721,-386
-4548,-401,7555,6044,-16213,-45
-2544,-1705,7375,-2317,-14215,3520
-2228,-1773,7243,-3020,-14932,3962
-1316,-713,2163,-3110,-20706,4001
-564,-1821,3255,-3298,-21011,2160
1240,-1969,1679,-1702,-19656,-731
2992,-13,1727,-177,-15133,-2227
1764,-597,2279,1032,-3219,-3044
1792,-1861,3071,1889,548,-4266
3152,-761,5691,2263,9071,-6783
340,2615,9083,-585,14179,-6138
-4188,1775,12279,-2614,9905,-1470
-5488,-221,12455,-2955,8434,-823
-7292,-2773,11439,-4043,4844,1096
-8644,-3237,9547,-4702,3905,1605
-7352,-465,8111,-8018,6218,2163
-6332,999,8259,-9727,8299,3289
-5996,3123,9143,-12841,12154,6102
-4536,3871,10099,-15326,14300,8547
-2940,2731,12403,-19531,16651,10703
-1652,1079,12387,-19800,16739,9201
3212,367,14067,-20202,19470,5230
4796,2775,19979,-17392,18616,2328
7456,6831,23735,-16912,14642,-4616
10220,8751,24759,-13732,13498,-874
5152,12583,22559,-1624,2601,-4703
5064,11159,21279,2342,-293,-6047
2428,10987,19151,6418,-6729,-5929
840,10503,16899,6677,-7969,-5185
-3440,9215,7743,9661,-6784,-2987
-5772,7875,8307,11322,-7530,-4754
-9264,4963,7335,12148,-8637,-1826
-9904,4255,6843,11798,-8569,-974
-10064,2395,8203,11328,-5096,639
-11248,1567,8519,12172,-2436,3287
-7840,3287,6459,8976,-1042,-62
-6636,3435,6839,8969,993,-715
-2504,5259,7691,8758,6873,-3067
-756,4471,11327,8725,7215,-4350
416,2363,14763,9789,11830,-4582
1628,1299,17055,10179,11767,-6781
5212,-3897,23499,9993,5700,-10684
6340,-845,19679,10696,7570,-9970
5168,5839,21079,7070,6079,-5212
3820,5203,20187,6319,2778,-3865
-1696,-1465,18723,1632,1619,-573
-3244,-2489,18259,353,-299,575
-6788,-4681,15863,-6016,-6130,1302
-7468,-1689,12099,-18130,-9335,4182
-7660,-1261,11731,-18920,-9306,4542
-7872,-573,11291,-20202,-9347,5146
-6772,2655,7267,-23950,-5315,7811
-5904,2335,7319,-25143,-3126,7668
-1340,5303,10991,-27905,5296,7828
716,6327,14595,-28030,7013,8019
1092,7835,17903,-21328,7241,6392
1120,8871,20067,-17326,5818,5261
1376,15303,22787,-5775,-2855,2004
1796,15943,21867,-1777,-4188,2351
-988,14015,18155,10943,-3441,-233
-2192,13227,16847,13779,-1930,-1255
-5352,10831,15383,18014,1794,-3242
-6440,9587,14911,18571,2082,-3486
-9204,6635,12783,19671,610,-4733
-9740,6475,12815,19811,-595,-4802
-10708,5215,10671,19018,-3444,-3636
-10992,4835,10011,18687,-3583,-2770
-10740,3175,7243,16346,-3885,-2317
-9900,2887,6939,15395,-2631,-2299
-7476,4043,7811,13765,1166,-2223
-3804,5959,9167,12805,5856,-3167
-2212,6667,9355,12681,7872,-4109
2776,6795,22347,11122,13326,-5439
3636,5251,23247,10513,13499,-4985
5676,315,24075,8570,9187,-4612
6116,695,23827,8833,7228,-5539
8348,6371,26931,6920,5719,-4443
6740,5959,26919,5026,3516,-2570
2332,2275,23399,-24,2597,14
-1448,-3185,20551,-3461,-228,1487
-5348,-6605,17219,-9799,-8104,4875
-5960,-5385,16059,-12685,-9789,3891
-6920,-1737,15187,-18232,-8702,6503
-9012,219,9915,-23546,-8139,7601
-8512,3887,9035,-28368,-5577,9135
-8176,4303,9091,-29907,-4567,9667
-6424,6083,7947,-30330,-1661,9839
-3656,4779,10659,-30330,2516,8445
-584,6323,15471,-26683,6639,4721
-1264,6947,16999,-22325,8008,3317
-1400,13547,21863,-12199,5400,-166
152,13663,23519,-5403,-1216,-754
-1624,13687,21539,4419,-4734,-2207
-2896,13527,19443,7923,-4617,-2708
-5732,10739,14735,15893,363,-4862
-6416,9943,14483,16902,1522,-5373
-8196,7031,12583,17485,2650,-6347
-8492,6723,12195,17612,2515,-6554
-8656,6787,11335,18079,1647,-6653
-8440,7299,11143,17994,1581,-6235
-8192,6691,12399,15860,-93,-3094
-8156,5543,11623,15296,-759,-2028
-6572,2539,10071,14454,-598,-856
-5100,3419,10655,13963,91,-1296
-1212,3303,12595,11875,4129,-1770
276,2435,13227,11120,5743,-2111
4032,1475,16207,8280,8678,-3614
5416,919,22191,7628,7205,-3891
6252,119,23535,6883,4121,-1315
7368,667,22919,6733,4098,-1718
3196,4523,25815,1107,3071,1386
524,2375,26111,-359,662,1815
-5252,-1489,21283,-5006,-7650,1508
-6764,-2021,19571,-6880,-9737,2402
-8504,-3317,14483,-15002,-14733,2606
-8704,-2309,12703,-17659,-14542,3593
-9104,319,10583,-22767,-12349,5598
-7788,1679,10623,-24391,-8134,7970
-7976,3923,7179,-28069,-3697,8941
-6536,3343,9403,-28206,-2675,8819
-3768,4095,11155,-28197,-864,7613
-1584,5467,12059,-25090,986,5485
2604,12579,18375,-12276,2631,2086
3044,15459,19031,-8460,2250,2391
3576,17075,26363,2622,-364,-696
2220,16067,23839,5043,26,-381
-3196,13595,20335,13509,-375,600
-4912,13331,20031,15330,-504,1235
-7904,11511,19123,17223,-806,1118
-10116,8011,17207,17152,-2724,2060
-10932,2387,12907,16274,-3394,496
-11492,887,11727,15468,-3670,-884
-10764,635,11867,13453,-3589,-1838
-10280,-93,10951,11726,-1845,-875
-9060,-21,8691,9364,-318,-989
-8540,-273,8431,8714,697,-1169
-5720,1067,9699,7648,4804,-1958
-5028,1619,10387,7490,5590,-2081
-1956,1279,11907,7881,5598,-3543
-520,891,11195,8026,6652,-5145
5832,2459,18931,8433,13072,-11217
6712,3619,18055,8376,16661,-10891
17087,5043,30203,4777,21183,-6794
8080,9343,27251,6096,19610,-5982
5344,2983,29879,3507,8518,-2121
3152,-309,29547,1019,2204,-719
-3804,-4145,22683,-4535,-14684,2450
-6016,-4861,21291,-6098,-17502,4568
-9216,-2809,13811,-14764,-23204,3586
-9712,-1081,10471,-16860,-20717,5587
-11136,-553,6059,-22868,-11971,6571
-10760,643,2879,-25084,-9705,5385
-7296,951,7955,-28689,2340,5545
-5952,1339,9427,-29236,4787,5184
-3884,1383,10515,-29907,8523,1750
2832,3463,18303,-26361,9336,-3302
1096,12335,24027,-10563,9977,-3219
176,15631,24755,-5246,6245,-3625
476,16091,27311,-397,-2094,-3745
-1388,12707,22619,5454,-4656,-2012
-4852,10055,18227,11351,-3407,-3866
-5480,9555,18427,13175,-2566,-3410
-6980,6903,13519,14597,-3665,-5636
-7552,6059,13139,15166,-4531,-5078
-8308,4923,8975,14776,-3880,-2357
-8980,6507,6347,14258,-3916,-1884
-8780,5267,7303,13591,-3902,-1390
-8500,5147,7607,12948,-2450,228
-7412,4411,8063,13012,-1303,1813
-2180,3947,9531,12877,2081,597
-1796,3943,9611,12746,2428,356
-1324,4127,10043,12370,2844,-73
2112,899,20035,10955,6712,96
2056,-717,18555,10617,6925,-1419
3596,-2049,20043,9246,6942,-6031
5564,523,19955,8288,7691,-7332
8120,6079,26647,1224,8556,-3447
5976,5971,28631,-14,5742,-951
-908,-2049,24175,-2131,-3842,3049
-2640,-4013,22451,-3339,-7080,3886
-7188,-6905,13591,-10286,-11899,3266
-6948,-4101,13579,-13214,-12572,3172
-6992,-1289,10783,-21443,-5344,5406
-7500,139,8547,-23872,-2884,6343
-7132,1939,11863,-27874,217,7167
-6968,3127,12467,-28967,399,7829
-6276,5531,13419,-30330,-1041,9804
-5796,5511,13327,-30330,-1141,10078
-4356,4543,13455,-30163,143,8486
-2120,5239,14691,-26569,1738,4896
-232,10087,18895,-17789,3254,1380
-160,10995,19519,-14720,2045,371
212,11543,18947,-7333,-652,-709
-280,12163,17295,2026,-246,-2075
-2280,12967,16695,14653,5024,-3426
-2900,12267,17455,16706,6501,-3439
-4004,9771,17247,19310,7677,-3828
-5592,7847,16695,22128,7201,-4836
-6456,6687,15711,25787,2427,-4618
-6556,6119,15063,26335,222,-3967
-6020,4983,14083,25765,-2526,-2048
-6904,3763,12911,23582,-2337,132
-8784,883,12039,20407,-2121,3761
-8612,-5,12107,18995,-2408,4647
-7500,-1677,11459,15818,-2099,5111
-5456,-2765,12043,13994,1143,3281
-1048,-2029,14247,11629,5799,501
1488,-141,17603,10694,6588,849
1360,-3641,23427,7391,7320,-293
1744,-6669,26915,4818,6595,-1542
2972,-6997,26931,-1806,2537,-4789
3260,-4649,25003,-5307,135,-5612
3060,355,26431,-11509,-1199,-3986
2320,-273,24847,-13154,-1739,-2730
-1564,-1713,21039,-19126,-5452,-77
-2852,-1389,19611,-21007,-6420,953
