acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z
-6137,4303,-8496,-673,-1058,956
-6141,4311,-8552,-642,-1036,929
-6177,4307,-8468,-557,-995,849
-5901,4583,-8864,-337,-729,1023
-5929,4499,-8876,-279,-725,1020
-5989,4431,-8964,-281,-660,1012
-5941,4403,-8920,-203,-628,1011
-5953,4451,-8788,-144,-500,951
-5805,4419,-8920,-83,-199,904
-6521,4547,-9152,114,2087,590
-6453,4463,-8412,-613,2045,765
-6449,3979,-8708,-376,2352,511
-6545,3567,-7492,327,1267,324
-6313,3775,-7888,-317,480,142
-6373,3635,-7644,-397,395,86
-6637,3475,-7604,-816,-357,49
-6541,2907,-8252,-1049,99,94
-6829,2787,-7932,-1822,615,3
-6953,2667,-7684,-2098,910,7
-7601,2271,-5804,-3718,1304,-373
-7701,2395,-5188,-4323,1002,-423
-8733,2223,-3452,-6161,-1378,-928
-9141,2283,-2896,-6813,-2359,-1210
-9989,2363,-2304,-9452,-5715,-2888
-9741,2447,-2440,-10312,-6653,-3639
-9385,4155,-3164,-12993,-8904,-5940
-9653,4611,-2848,-14095,-9411,-6629
-10857,4835,-2728,-16447,-10181,-8518
-11553,5351,-1984,-19091,-11216,-11175
-10953,9731,-3404,-22789,-12781,-14991
-11069,11175,-3428,-24101,-12912,-16003
-11849,12975,-2992,-27153,-12508,-17939
-13009,15639,-2536,-29940,-12560,-19890
-14385,21731,-3136,-30333,-13267,-22705
-14521,23471,-3352,-30333,-13242,-23329
-13485,28287,-5704,-29233,-11237,-23029
-12669,28867,-6908,-27370,-9272,-21873
-10769,27803,-9428,-21771,-2976,-17529
-10285,25291,-10208,-14883,4533,-10925
-15985,21671,-3944,-7653,14520,-3673
-17821,20851,-1308,-7114,15946,-3166
-17765,20823,2972,-6512,10905,-3838
-16725,20911,3024,-5843,7364,-3989
-13309,19887,1760,-5172,-1915,-3856
-12981,19539,528,-5457,-3580,-4011
-12577,18759,-3748,-6027,-3923,-4404
-12877,17947,-4532,-5969,-2580,-4594
-14417,15367,-4596,-4868,3758,-4666
-15137,14963,-4052,-4400,5693,-4538
-17353,14547,-1736,-3500,9738,-4057
-18169,15039,-1092,-3170,10187,-3855
-19365,16027,-384,-1913,10070,-3255
-19329,16235,592,-866,9252,-2408
-19689,16159,2632,-155,5891,-889
-20097,15987,2908,151,4240,-547
-20329,15431,2724,777,840,-250
-20157,15263,2396,930,-1534,-44
-20225,15251,1992,818,-3371,-98
-20229,15143,1768,791,-3649,-278
-19981,15435,1028,734,-3708,-691
-20029,16487,732,737,-2998,-1054
-19981,16943,840,582,-911,-1443
-19949,16755,840,596,-189,-1499
-19733,16479,1268,669,992,-1426
-19425,16567,1644,889,1683,-1043
-19289,16699,2048,1724,1632,-89
-19437,16507,2616,1781,1556,61
-19677,15923,3300,1105,872,194
-19401,15155,2732,524,-579,-206
-18229,15039,1060,376,-1906,-676
-17857,15027,760,274,-1642,-642
-17697,14895,404,-105,-488,-491
-17973,14563,636,-750,664,-520
-18041,14535,412,-1352,272,-1243
-17561,14571,240,-1375,22,-1456
-16821,14479,-40,-1682,191,-1525
-16677,14475,168,-2148,506,-1334
-16633,15331,336,-3039,-1091,-1371
-16449,15855,20,-3102,-2082,-1321
-15933,17655,-1452,-2606,-3699,-832
-16017,20091,-2264,-2012,-3720,-102
-16709,22619,-3140,-1508,-1422,1088
-16825,22883,-3264,-1486,-366,1444
-17513,23927,-2728,-986,2203,2837
-17829,24571,-2392,-715,2487,3189
-18405,24659,-2092,894,2195,4506
-18185,23267,-2504,1959,2260,5241
-18821,19463,-320,5708,4684,8502
-19501,19003,1280,6405,4676,9411
-20605,17875,4464,7460,-843,10645
-20301,17503,4616,7801,-3923,10596
-18437,18815,2292,9738,-11027,10290
-18101,18691,1664,10316,-11522,10389
-17685,17375,1692,10423,-10726,10397
-17933,15915,2032,9865,-9983,9847
-17901,17171,864,10577,-10648,7871
-17289,16839,340,10977,-10155,7470
-16429,15663,576,11122,-7631,6937
-16157,14683,916,10507,-5260,6453
-16533,15871,1516,10521,-4333,5279
-16245,15871,1480,10717,-4302,4966
-15621,14371,2040,10162,-2780,4298
-15573,14019,2144,9788,-2565,4066
-15965,15099,2192,9122,-3182,3017
-15841,15447,2256,8826,-3148,2612
-15813,14959,1964,6969,-1471,1706
-15869,14899,1932,6292,-845,1367
-16221,15895,1656,4730,384,101
-16269,16219,1728,4154,776,-270
-16305,16519,1888,1700,2587,-1163
-16393,16711,2072,764,2979,-1519
-17173,18631,1756,-1603,2803,-3053
-17345,19423,1424,-2264,2696,-3708
-17161,19615,716,-4643,3345,-5414
-17321,19307,276,-5221,3532,-6053
-17013,21815,-1388,-5845,4317,-8045
-16177,22359,-1864,-6142,5918,-8177
-17081,21355,-660,-8125,11214,-7947
-17489,20131,-888,-8374,11649,-8005
-17137,16623,-1352,-7091,13906,-7402
-17213,16499,-1144,-6991,14081,-7325
-17241,16307,-88,-6773,14591,-6893
-17057,15375,968,-6455,13233,-6403
-16829,14967,1084,-6300,12516,-6390
-16381,14043,972,-6037,10235,-6283
-16241,13831,776,-6040,9633,-6311
-15961,13283,292,-6294,8988,-6561
-15797,12435,8,-6796,8670,-6871
-15629,11631,-420,-7499,8672,-7354
-15637,11451,-668,-7524,8657,-7457
-15953,11219,-816,-7474,8814,-7708
-15889,11939,-984,-7395,8838,-8114
-15333,14187,-1364,-7176,8653,-8513
-15197,14763,-1492,-7081,8742,-8519
-15265,15943,-1920,-6903,8869,-8371
-15201,16819,-2260,-6740,9143,-8029
-15121,17163,-2712,-6331,10158,-7002
-15257,17135,-2720,-6070,10463,-6635
-15493,16579,-2100,-5246,10514,-5313
-15473,16315,-1496,-4954,10007,-4934
-15541,15779,-1268,-4009,7581,-3651
-15781,15763,-1444,-3676,6674,-3202
-16429,15211,-2268,-2402,3911,-1992
-16249,15063,-2648,-1973,3418,-1662
-16125,15531,-2788,-1183,3137,-915
-16333,17419,-3344,-347,3312,-42
-16657,18263,-4740,2023,5514,1996
-16669,18203,-4620,2733,7040,2806
-17285,20667,-1968,3224,8813,4026
-17601,22227,-72,2826,7164,4713
-17213,24371,76,1806,2557,4738
-17017,24723,-232,1719,1235,4864
-16417,22743,-1476,2017,-244,5568
-16553,19543,-792,2657,-361,6489
-17125,16179,852,3435,-2731,7221
-17065,15619,1012,3625,-3943,7232
-16837,15391,1312,3954,-6779,7035
-16389,15943,960,4313,-9488,6485
-15629,17079,484,4861,-12069,5439
-15581,17283,196,5012,-12400,5141
-15369,17503,-136,5369,-12405,4757
-15165,17303,-748,5912,-11410,4682
-15077,16847,-928,7001,-8474,5046
-14973,16739,-896,7298,-7305,5249
-14949,16027,276,7475,-4315,5769
-15029,15675,752,7396,-3991,5904
-14985,15167,2008,6871,-4533,6046
-15005,15003,2204,6569,-5029,5993
-15017,14559,2592,5168,-7024,5438
-15005,14383,2552,4698,-7669,5147
-14773,13599,2304,2866,-9270,4290
-14857,13215,2136,2336,-9562,4063
-15093,12559,1464,579,-9853,3071
-15049,12571,1300,25,-9816,2754
-15057,12675,1444,-2072,-9700,1698
-15069,12635,1412,-2595,-9871,1296
-15369,13499,1256,-4085,-10613,63
-15381,14099,1340,-4617,-10999,-414
-15417,16435,892,-6376,-11867,-2077
-15389,17471,292,-6702,-11990,-2502
-15333,20599,-1008,-6927,-10555,-2935
-15325,21127,-1184,-6872,-9458,-2757
-16093,22515,-940,-6794,-6984,-2183
-17505,23327,-1016,-5738,-5814,-1526
-17941,23755,-912,-3469,-3714,-751
-17697,24335,-620,-3250,-2488,-486
-18001,25511,876,-4208,238,-231
-18969,24647,1100,-5180,23,-946
-18449,19479,-1520,-4451,11,-2010
-18129,17603,-1700,-3989,1125,-2127
-18165,14227,288,-2933,4808,-1750
-18653,13907,1040,-2471,5196,-1656
-19449,14079,2584,-1022,3557,-1561
-19389,14267,2548,-657,2600,-1458
-18721,13659,2184,423,975,-855
-18541,13259,2268,585,750,-605
-18625,12003,2944,258,167,-289
-18833,11875,2772,101,-89,-416
-18609,11371,2200,-429,-970,-1195
-18405,11255,2156,-743,-1039,-1380
-18193,12115,2016,-1610,-1655,-1886
-18277,12599,1936,-1803,-1857,-2097
-17953,13539,1188,-2392,-1586,-2367
-17961,13763,1104,-2518,-1408,-2379
-18073,14779,988,-2746,-1197,-2233
-18009,15287,924,-2791,-1193,-2136
-18189,16207,804,-2902,-1096,-1658
-18313,16207,840,-2944,-1154,-1557
-18361,15827,828,-3008,-1705,-1380
-18397,15867,828,-3108,-1956,-1374
-18497,15367,528,-3161,-2767,-1375
-18501,15291,524,-3219,-2854,-1398
-18761,15067,268,-3212,-3784,-1639
-18677,15135,116,-3078,-4055,-1694
-18373,15987,-364,-2449,-4065,-1727
-18437,16347,-480,-2202,-3895,-1697
-18029,17455,-604,-1433,-2504,-1254
-18081,17691,-364,-1251,-1988,-1097
-17989,18707,-712,-400,-960,-317
-17749,18835,-836,41,-504,78
-17773,20475,120,753,1041,1302
-17913,22087,236,813,985,1469
-17613,26327,-356,1157,-146,2016
-17369,26979,-792,1534,-273,2312
-16721,24019,-1324,3304,2468,4966
-17245,22563,-840,3939,3339,5849
-18353,16447,-268,6168,3457,6925
-17633,15511,-192,6716,3464,6788
-16309,16039,764,7175,2778,6607
-16285,16955,632,7627,1898,6438
-15593,18323,36,9138,1178,6976
-15517,17815,176,9410,1589,7530
-16069,15763,1888,9997,1505,9494
-16257,15079,2328,10042,836,9897
-16453,13555,2916,9709,-2746,10308
-16373,13231,3052,9453,-4201,10242
-15977,12227,2744,8665,-8474,9532
-15785,12091,2476,8488,-9544,9109
-15745,11855,1372,7754,-11493,7339
-15249,13847,-220,6180,-10143,4549
-15193,13967,-216,6075,-9842,4392
-15181,14103,-284,5949,-9602,4296
-15793,15363,-708,5102,-6899,3056
-15573,15839,-988,4952,-5825,2723
-15493,16555,-296,3664,-1849,2309
-15753,16647,404,3078,-1310,2166
-16193,17759,1388,1302,-2195,1371
-16289,17983,1356,796,-2730,1106
-16369,18011,612,-584,-3854,313
-16557,17963,568,-988,-4002,38
-16705,18683,380,-1851,-4304,-663
-17237,19979,-188,-2558,-4627,-1337
-17805,20539,-1184,-3015,-4117,-2503
-17933,21419,-1016,-3323,-3900,-3162
-16645,22811,-1768,-4874,-1657,-4731
-16529,22839,-1860,-5462,-350,-5083
-17273,19315,-3016,-6566,3372,-6027
-17229,18291,-3296,-6611,4741,-6240
-17201,16103,-2384,-6081,9151,-6099
-17405,15879,-1776,-5834,9898,-6084
-17297,15443,-796,-5321,10157,-6063
-16953,14771,-380,-4765,9864,-5825
-16725,13327,-328,-3769,9253,-5128
-16793,12891,-116,-3452,9116,-4890
-16557,11955,404,-3098,8606,-4559
-16453,11231,692,-3103,7384,-4453
-16285,10979,576,-3593,5050,-4861
-16161,11087,268,-3713,4522,-5052
-15849,11595,-152,-4042,4156,-5398
-15837,12163,-176,-4582,3963,-5722
-16065,13123,-332,-5409,3445,-6131
-16173,13335,-516,-5565,3327,-6239
-16193,14091,-1036,-5878,3454,-6363
-16109,14827,-1320,-6212,3973,-6242
-16329,15915,-1320,-6577,4018,-5880
-16581,16143,-1524,-6516,3948,-5693
-16757,16243,-2768,-5555,4470,-5005
-16769,15975,-2628,-5208,4777,-4642
-17173,16375,-2248,-4067,4950,-3566
-17389,16663,-2372,-3663,4685,-3234
-17417,17531,-3340,-2053,4243,-2206
-17281,17771,-3572,-1543,4623,-1769
-17145,17635,-3376,-745,5791,-657
-17521,17507,-2524,44,6284,491
-17665,18095,-1728,893,5598,1955
-17725,19215,-1188,845,5040,2235
-17597,22143,-440,296,2663,2288
-17261,25023,-928,-264,-418,2353
-16097,23691,-3656,979,59,4186
-16341,22671,-3224,1606,1185,5046
-17241,19779,-1096,2845,1770,6620
-17369,17179,688,3326,33,7389
-16721,15411,1188,3502,-4810,7389
-16273,15527,780,3557,-6251,7228
-15433,15491,-164,3790,-8068,6898
-15213,14763,-532,4192,-8310,6737
-15633,14031,-1244,5248,-7197,6699
-15541,13811,-1244,5608,-6584,6735
-15477,13591,-804,6353,-5307,6999
-15517,13547,-24,6973,-4731,7332
-15449,14043,668,7594,-5134,7552
-15441,14155,804,7708,-5323,7555
-15353,14267,860,7810,-5614,7390
-15473,14167,988,7738,-5644,7224
-15457,14403,956,7191,-6251,6375
